series_id,replication_mode,timing_variant,window_start,window_end,regression_observations,innovation_start,innovation_end,innovation_observations,intercept,intercept_decimal_rate_units,intercept_standard_error,intercept_t_ratio,slope,slope_standard_error,slope_t_ratio,r_squared,residual_standard_error,descriptive_mean,descriptive_standard_deviation,descriptive_minimum,descriptive_maximum,descriptive_autocorrelation_1,descriptive_observations,diagnostic_durbin_watson,diagnostic_arch_lm_statistic,diagnostic_arch_lm_p_value,diagnostic_jarque_bera_statistic,diagnostic_jarque_bera_p_value,diagnostic_skewness,diagnostic_kurtosis,diagnostic_residual_mean_absolute,diagnostic_residual_degrees_of_freedom,diagnostic_ljung_box_1_statistic,diagnostic_ljung_box_1_p_value,diagnostic_ljung_box_6_statistic,diagnostic_ljung_box_6_p_value,diagnostic_ljung_box_12_statistic,diagnostic_ljung_box_12_p_value,diagnostic_ljung_box_24_statistic,diagnostic_ljung_box_24_p_value,diagnostic_autocorrelation_1,diagnostic_autocorrelation_2,diagnostic_autocorrelation_3,diagnostic_autocorrelation_6,diagnostic_autocorrelation_12,unit_audit_level_minimum,unit_audit_level_maximum,unit_audit_level_mean,unit_audit_inferred_level_scale,unit_audit_innovation_standard_deviation,unit_audit_innovation_standard_deviation_if_divided_by_twelve,unit_audit_innovation_standard_deviation_if_divided_by_hundred,unit_audit_innovation_units,unit_audit_article_intercept_display_units
FEDFUNDS,documented_reconstruction,within_window_lag,1972-01,2013-12,503,1972-02,2013-12,503,0.04828941379617662,0.0004828941379617662,0.04658476412228653,1.036592429005658,0.9903932966511308,0.006725830565908723,147.25219241637546,0.9774163677094758,0.5859616308932387,2.7828413309093387e-15,0.5853777128300244,-6.5091153678225915,3.153976834283398,0.4028868023128576,503.0,1.1940465048053348,104.9056276009207,6.057319242242727e-17,30360.640479136746,0.0,-1.8627322085251579,40.87796118725112,0.2791322069352307,501.0,82.1090033317943,1.2878462692330294e-19,102.3420482746879,8.141320345960276e-20,168.36318991884238,1.0317107588726975e-29,233.47832475196293,3.0312015580192335e-36,0.4028868023128576,0.003074719160214826,-0.11624383783388591,-0.05234178615160535,-0.14949426525458953,0.07,19.1,5.727594433399601,percent_per_annum,0.5853777128300244,0.048781476069168696,0.005853777128300244,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
FEDFUNDS,documented_reconstruction,pre_window_lag,1972-01,2013-12,504,1972-01,2013-12,504,0.04625557239964492,0.00046255572399644924,0.046555833561742345,0.9935505147448555,0.9905271145667272,0.006725943599547051,147.26961353547966,0.9773775426145449,0.5860694032029656,1.002020336193435e-14,0.5854865394056574,-6.5094380599197095,3.153889661717729,0.40310521596868576,504.0,1.1923822956031942,105.11849413929272,5.500094717861894e-17,30260.23421776594,0.0,-1.8594021495699087,40.77742750325953,0.27963823529037435,502.0,82.19055221615741,1.235791786496433e-19,102.67516246055165,6.936295319219488e-20,168.86813522235246,8.134547629970767e-30,232.85335392455258,4.023829303205361e-36,0.40310521596868576,0.001035204320394487,-0.11743661386013937,-0.05273111233720872,-0.15158053791387618,0.07,19.1,5.723194444444444,percent_per_annum,0.5854865394056574,0.04879054495047145,0.005854865394056575,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
TB3MS,documented_reconstruction,within_window_lag,1972-01,2013-12,503,1972-02,2013-12,503,0.03729839606179626,0.0003729839606179626,0.039781128171396826,0.9375902036034844,0.9914929259419814,0.006469764053350627,153.25024494958157,0.979113371001271,0.48567194741556396,4.5627296948412e-15,0.4851879692710217,-4.545005018495949,2.6891634477924793,0.329003936902392,503.0,1.3417826078362638,123.90875254020824,1.0247903896489295e-20,10731.781016151737,0.0,-1.4360247027793653,25.445589811113734,0.25858638383286986,501.0,54.75480788493714,1.365447560233041e-13,79.01347157058684,5.711257663786741e-15,141.0298487713324,3.710499784918645e-24,218.4437641534751,2.700269615834271e-33,0.329003936902392,-0.08756210261110602,-0.08937371675403796,-0.17012440784766503,-0.12438648882994721,0.01,16.3,5.1513518886679925,percent_per_annum,0.4851879692710217,0.040432330772585144,0.004851879692710217,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
TB3MS,documented_reconstruction,pre_window_lag,1972-01,2013-12,504,1972-01,2013-12,504,0.035378550882028785,0.00035378550882028784,0.03978134960955418,0.889325053806923,0.9916216245667444,0.00647349180783788,153.18187679887433,0.9790542601049339,0.4860084843680633,9.903894283164095e-16,0.48552513418944115,-4.544783995163055,2.689321408799241,0.3293213393346585,504.0,1.3390952309487967,124.23712462502972,8.810080022505441e-21,10641.59017556261,0.0,-1.4312594156070144,25.32819686525202,0.2591951194555398,502.0,54.800186159142655,1.3342813303776015e-13,79.22448924932965,5.1661613618792466e-15,140.7040632999693,4.317458475481825e-24,215.1158828121622,1.2062711156394182e-32,0.3293213393346585,-0.09023227797766424,-0.08922645158250465,-0.17033555859587377,-0.12611903486394027,0.01,16.3,5.147837301587301,percent_per_annum,0.48552513418944115,0.040460427849120094,0.004855251341894412,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
DTB3_MONTHLY_MEAN,sensitivity_only,within_window_lag,1972-01,2013-12,503,1972-02,2013-12,503,0.03732220082276934,0.00037322200822769336,0.039802883419285395,0.9376758067905676,0.9914851969106311,0.006473549328961437,153.1594410619401,0.9790891155163227,0.4859175051805276,4.359667034273577e-15,0.485433282334614,-4.551088893556612,2.6913847744304285,0.3284824328600066,503.0,1.3428093153613296,123.41808475994048,1.2844358327858546e-20,10785.850995095028,0.0,-1.4374592577027814,25.50261969188328,0.2586847769732423,501.0,54.580050068833,1.492430191730623e-13,78.98191949420669,5.797557353447978e-15,141.1588888571777,3.494365392898638e-24,218.66119394863426,2.448489494228868e-33,0.3284824328600066,-0.08830982496579709,-0.08941821232157955,-0.17040978577461097,-0.12486502427382906,0.01142857142857143,16.3045,5.151229416798431,percent_per_annum,0.485433282334614,0.040452773527884504,0.004854332823346141,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
DTB3_MONTHLY_MEAN,sensitivity_only,pre_window_lag,1972-01,2013-12,504,1972-01,2013-12,504,0.03541644845688718,0.00035416448456887176,0.03980202981421901,0.8898151331024552,0.9916129902867878,0.0064771047111015,153.09509951061972,0.9790310065155582,0.48624115177505034,-5.3132101892775345e-15,0.4857575702016352,-4.55087043973392,2.6915407312067803,0.3288362363371777,504.0,1.3400990564872848,123.74494612481217,1.1050482398755277e-20,10697.662019642506,0.0,-1.4327298725623383,25.38753263704832,0.2592738051914849,502.0,54.64175632394543,1.4462973194521583e-13,79.20756846509605,5.207885339127158e-15,140.85101356702705,4.032286962783973e-24,215.3703474261135,1.0759181507345118e-32,0.3288362363371777,-0.09096827665969966,-0.08925181626951846,-0.17061786666839124,-0.12657201464138562,0.01142857142857143,16.3045,5.147723576118842,percent_per_annum,0.4857575702016352,0.04047979751680293,0.0048575757020163516,annualized percentage points of the rate level; identical to the level units because the AR(1) residual is a difference of levels,"decimal rate units; the article prints the AR intercept as 0.000 while printing Table 1 innovation statistics in percent, so the intercept must be divided by 100 before it is compared with the published value. The slope, both t-ratios, and R-squared are scale invariant and require no conversion."
