family,article_label,article_definition,archive,member,member_sha256,normalized_path,normalized_sha256,weighting,number_of_portfolios,sample_start,sample_end,monthly_observations,return_units,missing_value_count,missing_value_codes,continuous_months,minimum_stocks_per_portfolio,value_minimum,value_maximum,baseline_family,declared_alternatives
book_to_market,BM,value-weighted deciles sorted on the book-to-market ratio,vvg_monthly_2025,portf_bm_monthly_2025.csv,0dbba371bd905751ee97372a48b0c5c4ac383d2b1dbdae2adecbeb53f617eab2,data/interim/portfolios/book_to_market_global_q_2025_retrieved_20260802.csv,1ed644ab8b04b74ef262f04985ba47e02e077507d97630ca476d98a6666cb0fe,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,104,-37.0401,30.402,True,
earnings_to_price,EP,value-weighted deciles sorted on the earnings-to-price ratio,vvg_monthly_2025,portf_ep_monthly_2025.csv,45bb7ebe71774fc38fcf3fd1cd9d42cc0a5602769246e7909ed35e57aadae516,data/interim/portfolios/earnings_to_price_global_q_2025_retrieved_20260802.csv,1ce72ca029f10ef4316966a37d7dc7d94da0475b74f39df909060de68204651c,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,94,-25.6866,25.9912,True,
equity_duration,DUR,value-weighted deciles sorted on equity duration,vvg_monthly_2025,portf_dur_monthly_2025.csv,edc56d0f017d2568289add4ecc25c22079ff4f613b06273d9664f0d1f3948d3e,data/interim/portfolios/equity_duration_global_q_2025_retrieved_20260802.csv,bf3bba6be9db675349f164fd82d518eb1b77079a717d78053f25c63cae691359,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,38,-29.6679,28.9705,True,
long_term_reversal,REV,value-weighted deciles sorted on long-term prior returns,vvg_monthly_2025,portf_rev_1_monthly_2025.csv,b23d4346919f11ce4730c3608dafbea94239bef05e198e656c41684f1c074417,data/interim/portfolios/long_term_reversal_global_q_2025_retrieved_20260802.csv,90e7f9c96d55b9e1865d72293eee81c39ad5563839ac196a2e3d3f39e05b2929,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,90,-30.1823,38.1004,True,portf_rev_6_monthly_2025.csv;portf_rev_12_monthly_2025.csv
investment_to_assets,IA,value-weighted deciles sorted on the investment-to-assets ratio,inv_monthly_2025,portf_ia_monthly_2025.csv,40a27b394d89f2f9563758fe98eff5552361ce8d4eb55354cc7f8899cecf9bf5,data/interim/portfolios/investment_to_assets_global_q_2025_retrieved_20260802.csv,a5bcdbc373a17df728aa5c03a7e3c98cd3099ea8c690f70ece7b24a6ab426044,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,94,-28.3616,26.0069,True,
ppe_investment,PIA,"value-weighted deciles sorted on changes in property, plant, and equipment plus changes in inventory scaled by assets",inv_monthly_2025,portf_dpia_monthly_2025.csv,b629133b5bead13dc94ca73672bc2251cf54ee6b589cfc071bcc17f2ba5e0496,data/interim/portfolios/ppe_investment_global_q_2025_retrieved_20260802.csv,04214950611d919cd54a844d83a829cd8094a57b4dca23935aca5ac393b3a6fd,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,86,-28.2396,23.7241,True,
inventory_growth,IVG,value-weighted deciles sorted on inventory growth,inv_monthly_2025,portf_ivg_monthly_2025.csv,63159acb9c0f428d1336adf73291e4dacd0c94638943af93f43453952a454815,data/interim/portfolios/inventory_growth_global_q_2025_retrieved_20260802.csv,018854e864c3eac3e117785d52f548493bcd3d55c92cc90a1d6a0db445fabd5d,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,80,-28.7251,22.5172,True,
cash_flow_to_price,CFP,deciles sorted on the cash-flow-to-price ratio,vvg_monthly_2025,portf_cp_monthly_2025.csv,be359cf758fed65d750da7aba7c4e7a480b27ce82cb2585b7cd02b7af3e62336,data/interim/portfolios/cash_flow_to_price_global_q_2025_retrieved_20260802.csv,d833df1fe05b2030ea04dc1d739d3f45ad18978ff2d60ed80dbad035f6d80819,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,105,-28.3492,26.0537,False,
investment_growth,IG,deciles sorted on investment growth,inv_monthly_2025,portf_ig_monthly_2025.csv,e0a80e524d8ff7a3e478f13969b642084b65e62883094133cb2c5f222074f251,data/interim/portfolios/investment_growth_global_q_2025_retrieved_20260802.csv,237601b35f7a79f5f069f7a822b079a2428af42f923ffcece36163407e3d7ffa,value_weighted,10,1967-01,2025-12,708,percent_per_month,0,none observed; the archive omits absent months rather than coding them,True,70,-27.7748,29.2716,False,
