dataset,vintage_label,archive_date,file_name,source_url,provider,attributed_by_article_to,retrieved_at_utc,raw_path,normalized_path,raw_sha256,normalized_sha256,monthly_start,monthly_end,monthly_observations,units,missing_value_code,missing_value_count,redistribution_status,http_last_modified,http_etag,columns,source_metadata_lines,value_minimum,value_maximum
q_factors,global_q_2025_retrieved_20260802,2026-08-02,q5_factors_monthly_2025.csv,https://global-q.org/uploads/1/2/2/6/122679606/q5_factors_monthly_2025.csv,"Hou, Xue, and Zhang q-factor library (global-q.org)",Lu Zhang,2026-08-03T09:25:52.869583+00:00,data/raw/comparators/q_factors/q_factors_global_q_2025_retrieved_20260802.csv,data/interim/comparators/q_factors_global_q_2025_retrieved_20260802.csv,8b2e2f1364890f8f5876da20e6bfad0acd8d272425de3b65c725f54b51128f6a,2ca597cb4c0a7d4dc9041e24c3b7dbd9d61a7b7aeca65d9554bf8f815b9d20c9,1967-01,2025-12,708,percent_per_month,none; absent months are omitted rather than coded,0,public author-provided research data; the download page states no registration or licensing condition. Raw bytes are retained locally and are not redistributed by this repository.,"Thu, 30 Jul 2026 20:12:01 GMT",,R_F;R_MKT;R_ME;R_IA;R_ROE;R_EG,,-23.2228,22.1486
pastor_stambaugh_liquidity,publication_era_20170828,2017-08-28,liq_data_1962_2016.txt,https://web.archive.org/web/20170828055543id_/http://finance.wharton.upenn.edu/~stambaug/liq_data_1962_2016.txt,"Robert Stambaugh, Wharton",Robert Stambaugh's web page,2026-08-03T09:25:56.491342+00:00,data/raw/comparators/pastor_stambaugh_liquidity/pastor_stambaugh_liquidity_publication_era_20170828.txt,data/interim/comparators/pastor_stambaugh_liquidity_publication_era_20170828.csv,3983891fe42ab41b741b015682ce69ea8d01fa3fb4fe5b68540332f7d8d1f7e2,671babd31c07ea390c3d3fbcb6f13fb1beae70df4c7f720c7220c9c1dd4c9e71,1962-08,2016-12,653,decimal_per_month,-99,65,public author-provided research data; no licensing condition is stated on the source page. Raw bytes are retained locally and are not redistributed by this repository.,,,aggregate_liquidity_level;liquidity_innovation_non_traded;traded_liquidity_factor,"LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2016 | Column 1: Month | Column 2: Levels of aggregated liquidity (Figure 1 in the paper) | Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series) | Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return) | Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical | liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study) | and through 2016 it is similarly successful at creating a spread in post-ranking betas. The traded | factor has a positive and significant alpha through 2016, consistent with liquidity risk being priced. | Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)",-0.46143022,0.28005422
pastor_stambaugh_liquidity,current_20260802,2026-08-02,liq_data_1962_2025.txt,https://finance.wharton.upenn.edu/~stambaug/liq_data_1962_2025.txt,"Robert Stambaugh, Wharton",Robert Stambaugh's web page,2026-08-03T09:26:02.552851+00:00,data/raw/comparators/pastor_stambaugh_liquidity/pastor_stambaugh_liquidity_current_20260802.txt,data/interim/comparators/pastor_stambaugh_liquidity_current_20260802.csv,e9bafb48139aa6e588e032e35a90dce6edc5daf3fdcfe09c452f61caf6e04fbe,5cb62fbb6adfe01adad9f63968e6a0ee0c12a58bbb8194720de114cadcf3b16d,1962-08,2025-12,761,decimal_per_month,-99,65,public author-provided research data; no licensing condition is stated on the source page. Raw bytes are retained locally and are not redistributed by this repository.,"Tue, 26 May 2026 14:38:14 GMT","""8f58-652b971f48d37""",aggregate_liquidity_level;liquidity_innovation_non_traded;traded_liquidity_factor,"LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2025 | Column 1: Month | Column 2: Levels of aggregated liquidity (Figure 1 in the paper) | Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series) | Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return) | Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical | liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study) | and through 2025 it is similarly successful at creating a spread in post-ranking betas. The traded | factor has a positive and significant alpha through 2025, consistent with liquidity risk being priced. | Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)",-0.46169417,0.27882583
