family,months_compared,published_mean,computed_mean,difference_mean,published_sd,computed_sd,difference_sd,published_min,computed_min,difference_min,published_max,computed_max,difference_max,published_phi,computed_phi,difference_phi,statistics_matching_at_published_precision,statistics_compared,source_compatibility
book_to_market,504.0,0.69,0.6642,-0.0258,4.86,4.7206,-0.1394,-14.18,-14.3495,-0.1695,20.45,20.4382,-0.0118,0.11,0.0996,-0.0104,0,5,same_source_lineage_different_vintage_or_construction
earnings_to_price,504.0,0.58,0.4992,-0.0808,4.83,4.7731,-0.0569,-15.47,-20.9721,-5.5021,22.53,18.9152,-3.6148,0.02,0.0163,-0.0037,1,5,same_source_lineage_different_vintage_or_construction
equity_duration,504.0,-0.52,-0.5466,-0.0266,4.34,4.4898,0.1498,-21.38,-18.8286,2.5514,15.77,17.258,1.488,0.09,0.0748,-0.0152,0,5,same_source_lineage_different_vintage_or_construction
long_term_reversal,504.0,-0.41,-0.3973,0.0127,5.21,5.1729,-0.0371,-32.99,-32.974,0.016,18.08,16.1745,-1.9055,0.06,0.0596,-0.0004,1,5,same_source_lineage_different_vintage_or_construction
investment_to_assets,504.0,-0.42,-0.428,-0.008,3.62,3.5963,-0.0237,-14.39,-14.1792,0.2108,11.83,12.4139,0.5839,0.04,0.0414,0.0014,1,5,same_source_lineage_different_vintage_or_construction
ppe_investment,504.0,-0.49,-0.5067,-0.0167,3.0,3.0136,0.0136,-10.37,-10.5004,-0.1304,8.6,8.7032,0.1032,0.08,0.0809,0.0009,1,5,same_source_lineage_different_vintage_or_construction
inventory_growth,504.0,-0.36,-0.3463,0.0137,3.15,3.17,0.02,-9.69,-9.6971,-0.0071,12.04,12.3647,0.3247,0.07,0.0681,-0.0019,1,5,same_source_lineage_different_vintage_or_construction
