factor,source,months,published_mean,computed_mean,difference_mean,published_sd,computed_sd,difference_sd,published_min,computed_min,difference_min,published_max,computed_max,difference_max,published_phi,computed_phi,difference_phi,statistics_matching_at_published_precision,statistics_compared,total_absolute_distance,column,scale,selected
LIQ,traded_liquidity_factor|times_one_hundred,504.0,0.43,0.4337,0.0037,3.57,3.4684,-0.1016,-10.14,-12.4893,-2.3493,21.01,11.0783,-9.9317,0.09,0.1,0.01,1,5,12.3962,traded_liquidity_factor,times_one_hundred,True
LIQ,aggregate_liquidity_level|as_published,504.0,0.43,-0.0308,-0.4608,3.57,0.0628,-3.5072,-10.14,-0.4614,9.6786,21.01,0.1979,-20.8121,0.09,0.1146,0.0246,0,5,34.4833,aggregate_liquidity_level,as_published,False
LIQ,liquidity_innovation_non_traded|as_published,504.0,0.43,-0.0013,-0.4313,3.57,0.0572,-3.5128,-10.14,-0.3919,9.7481,21.01,0.2801,-20.7299,0.09,-0.0048,-0.0948,0,5,34.5171,liquidity_innovation_non_traded,as_published,False
LIQ,traded_liquidity_factor|as_published,504.0,0.43,0.0043,-0.4257,3.57,0.0347,-3.5353,-10.14,-0.1249,10.0151,21.01,0.1108,-20.8992,0.09,0.1,0.01,0,5,34.8853,traded_liquidity_factor,as_published,False
LIQ,liquidity_innovation_non_traded|times_one_hundred,504.0,0.43,-0.1329,-0.5629,3.57,5.7173,2.1473,-10.14,-39.1882,-29.0482,21.01,28.0054,6.9954,0.09,-0.0048,-0.0948,0,5,38.8487,liquidity_innovation_non_traded,times_one_hundred,False
LIQ,aggregate_liquidity_level|times_one_hundred,504.0,0.43,-3.0826,-3.5126,3.57,6.2825,2.7125,-10.14,-46.143,-36.003,21.01,19.7854,-1.2246,0.09,0.1146,0.0246,0,5,43.4774,aggregate_liquidity_level,times_one_hundred,False
