series_id,replication_mode,timing_variant,statistic,published_value,reconstructed_value,difference,absolute_difference,published_rounding_tolerance,within_published_rounding,within_relative_t_ratio_band
FEDFUNDS,documented_reconstruction,within_window_lag,intercept,0.0,0.04828941379617662,0.04828941379617662,0.04828941379617662,0.0005,False,
FEDFUNDS,documented_reconstruction,within_window_lag,slope,0.991,0.9903932966511308,-0.000606703348869142,0.000606703348869142,0.0005,False,
FEDFUNDS,documented_reconstruction,within_window_lag,t_intercept,0.99,1.036592429005658,0.046592429005658076,0.046592429005658076,0.005,False,True
FEDFUNDS,documented_reconstruction,within_window_lag,t_slope,147.26,147.25219241637546,-0.00780758362452616,0.00780758362452616,0.005,False,True
FEDFUNDS,documented_reconstruction,within_window_lag,r_squared,0.98,0.9774163677094758,-0.0025836322905241627,0.0025836322905241627,0.005,True,
FEDFUNDS,documented_reconstruction,within_window_lag,mean,0.0,2.7828413309093387e-15,2.7828413309093387e-15,2.7828413309093387e-15,0.005,True,
FEDFUNDS,documented_reconstruction,within_window_lag,standard_deviation,0.59,0.5853777128300244,-0.004622287169975592,0.004622287169975592,0.005,True,
FEDFUNDS,documented_reconstruction,within_window_lag,minimum,-6.51,-6.5091153678225915,0.0008846321774083066,0.0008846321774083066,0.005,True,
FEDFUNDS,documented_reconstruction,within_window_lag,maximum,3.15,3.153976834283398,0.003976834283398123,0.003976834283398123,0.005,True,
FEDFUNDS,documented_reconstruction,within_window_lag,autocorrelation_1,0.4,0.4028868023128576,0.002886802312857595,0.002886802312857595,0.005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,intercept,0.0,0.04625557239964492,0.04625557239964492,0.04625557239964492,0.0005,False,
FEDFUNDS,documented_reconstruction,pre_window_lag,slope,0.991,0.9905271145667272,-0.0004728854332728405,0.0004728854332728405,0.0005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,t_intercept,0.99,0.9935505147448555,0.0035505147448554597,0.0035505147448554597,0.005,True,True
FEDFUNDS,documented_reconstruction,pre_window_lag,t_slope,147.26,147.26961353547966,0.009613535479672919,0.009613535479672919,0.005,False,True
FEDFUNDS,documented_reconstruction,pre_window_lag,r_squared,0.98,0.9773775426145449,-0.0026224573854550792,0.0026224573854550792,0.005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,mean,0.0,1.002020336193435e-14,1.002020336193435e-14,1.002020336193435e-14,0.005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,standard_deviation,0.59,0.5854865394056574,-0.004513460594342544,0.004513460594342544,0.005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,minimum,-6.51,-6.5094380599197095,0.000561940080290313,0.000561940080290313,0.005,True,
FEDFUNDS,documented_reconstruction,pre_window_lag,maximum,3.15,3.153889661717729,0.003889661717729087,0.003889661717729087,0.005,True,
