family,estimand,point_estimate,lower_95,upper_95,lower_90,upper_90,economic_direction_bound,interval_spans_both_directions,h4c_gate,replication_status
book_to_market,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,0.535266327357221,0.022276436467632128,0.8320649802061216,0.07041316883909021,0.7613909443624504,0.25,False,pass,documented_reconstruction
earnings_to_price,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,0.407112063670076,-0.0064413772469656605,0.6952572963164685,0.033717289396241336,0.6321918211945449,0.25,False,pass,documented_reconstruction
equity_duration,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,-0.4617386038024659,-0.7265054207281083,0.006302039033338027,-0.6614884439097313,-0.03458030809973842,0.25,False,pass,documented_reconstruction
long_term_reversal,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,-0.29918287132093957,-0.7079325792654669,0.15880174679309145,-0.6238287742062688,0.10802879573948013,0.25,False,pass,documented_reconstruction
investment_to_assets,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,-0.3283480827585184,-0.5342403835072871,-0.023856694620574506,-0.4855583551069172,-0.05168866436831349,0.25,False,pass,documented_reconstruction
ppe_investment,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,-0.29808069496297707,-0.4828570154701661,0.0012375522084444388,-0.43250802912839564,-0.029689555434833873,0.25,False,pass,documented_reconstruction
inventory_growth,rate_attributable_fitted_premium_spread_decile_10_minus_decile_01,-0.1907630266549685,-0.45242063561155826,0.09310993115097776,-0.3944220789625777,0.06088801921126034,0.25,False,pass,documented_reconstruction
