omitted_family,portfolio_set,model,n_assets,n_months,lambda_rate,lambda_market,shanken_se_lambda_rate,baseline_lambda_rate,baseline_lambda_market,asset,family,decile,beta_rate,baseline_beta_rate,pi_rate,baseline_pi_rate,pi_rate_change,family_spread_baseline,family_spread_refit,family_spread_change,family_material_baseline,family_material_refit,family_sign_reversal,family_materiality_lost,family_gate_passes
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_01,earnings_to_price,decile_01,0.3674037770031306,0.3674037770031306,-0.2522097362436666,-0.25661851623583004,0.004408779992163436,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_02,earnings_to_price,decile_02,0.21515810939249336,0.21515810939249336,-0.1476984544448609,-0.15028031349807705,0.0025818590532161456,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_03,earnings_to_price,decile_03,-0.11713719354840524,-0.11713719354840524,0.08041055247212354,0.08181617796532577,-0.0014056254932022227,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_04,earnings_to_price,decile_04,-0.05449604576900344,-0.05449604576900344,0.03740961359144118,0.03806355645016242,-0.0006539428587212376,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_05,earnings_to_price,decile_05,-0.17985100381793068,-0.17985100381793068,0.1234613715897985,0.12561955165444233,-0.0021581800646438276,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_06,earnings_to_price,decile_06,-0.24684352196199272,-0.24684352196199272,0.1694493727726741,0.17241145114241258,-0.002962078369738469,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_07,earnings_to_price,decile_07,-0.2028675136929416,-0.2028675136929416,0.139261393930823,0.14169576802116277,-0.0024343740903397526,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_08,earnings_to_price,decile_08,-0.2763733051652346,-0.2763733051652346,0.1897205275598467,0.1930369580770272,-0.003316430517180502,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_09,earnings_to_price,decile_09,-0.53996682842143,-0.53996682842143,0.3706681855242267,0.3771476914481848,-0.006479505923958073,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,earnings_to_price__decile_10,earnings_to_price,decile_10,-0.21546339895102934,-0.21546339895102934,0.14790802496061434,0.1504935474342462,-0.0025855224736318627,0.40711206367007624,0.40011776120428094,-0.006994302465795299,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_01,equity_duration,decile_01,-0.2757730743776661,-0.2757730743776661,0.18930849029160518,0.19261771814606815,-0.0033092278544629705,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_02,equity_duration,decile_02,-0.6212963812089413,-0.6212963812089413,0.4264980553874829,0.43395350148284023,-0.00745544609535731,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_03,equity_duration,decile_03,-0.21052604024417604,-0.21052604024417604,0.1445187023266632,0.14704497737377578,-0.002526275047112586,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_04,equity_duration,decile_04,-0.2992811146997262,-0.2992811146997262,0.2054459309504739,0.20903725110859323,-0.003591320158119332,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_05,equity_duration,decile_05,-0.03468774751433397,-0.03468774751433397,0.023811915388672028,0.024228162190656075,-0.0004162468019840472,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_06,equity_duration,decile_06,-0.10222213829188435,-0.10222213829188435,0.07017189302504118,0.07139854050736574,-0.0012266474823245666,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_07,equity_duration,decile_07,-0.033996203455434026,-0.033996203455434026,0.023337194779867447,0.023745143176115313,-0.0004079483962478661,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_08,equity_duration,decile_08,-0.13137619779919033,-0.13137619779919033,0.09018512674502863,0.09176161775725532,-0.0015764910122266912,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_09,equity_duration,decile_09,0.1937273673461788,0.1937273673461788,-0.13298700579537956,-0.13531169975486232,0.00232469395948276,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,equity_duration__decile_10,equity_duration,decile_10,0.3853035677664105,0.3853035677664105,-0.26449731135802146,-0.2691208856563969,0.004623574298375455,-0.46173860380246506,-0.45380580164962664,0.007932802152838425,True,True,False,False,True
book_to_market,all_seven_families_joint__minus__book_to_market,market_plus_fedfunds_innovation,60,504,-0.6864647345242658,0.6002330258351217,0.23410831194976087,-0.6984645567038997,0.6012277352967575,inventory_growth__decile_01,inventory_growth,decile_01,0.1378085262815926,0.1378085262815926,-0.09460069340907377,-0.09625437121929029,0.0016536778102165112,-0.1907630266549669,-0.18748566293430668,0.0032773637206602035,False,False,False,False,True
