portfolio_set,model,asset,family,decile,n_assets,beta_rate,lambda_rate_full,lambda_rate_leave_one_out,delta_lambda_rate,shanken_se_lambda_rate_full,shanken_se_lambda_rate_leave_one_out,standardized_dfbeta,abs_standardized_dfbeta,reaches_threshold,role
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_01,book_to_market,decile_01,70,0.2871017855470292,-0.6984645567038997,-0.6912434402332839,-0.0072211164706158515,0.2442575678446596,0.23865666564475368,-0.029563532194049613,0.029563532194049613,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_02,book_to_market,decile_02,70,0.075350099152168,-0.6984645567038997,-0.6986348269997329,0.00017027029583316367,0.2442575678446596,0.24400798362478807,0.000697093225547265,0.000697093225547265,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_03,book_to_market,decile_03,70,-0.21008890642284012,-0.6984645567038997,-0.7041007564759943,0.005636199772094619,0.2442575678446596,0.24701557852711584,0.02307482147566077,0.02307482147566077,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_04,book_to_market,decile_04,70,-0.08599743601653978,-0.6984645567038997,-0.6986983822952879,0.00023382559138818149,0.2442575678446596,0.24416852052739704,0.0009572910819159858,0.0009572910819159858,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_05,book_to_market,decile_05,70,0.02063896904613116,-0.6984645567038997,-0.7003150564868321,0.001850499782932391,0.2442575678446596,0.24589471687434913,0.007576018214138825,0.007576018214138825,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_06,book_to_market,decile_06,70,0.0012498509568634047,-0.6984645567038997,-0.7004342951169048,0.0019697384130050732,0.2442575678446596,0.24549733162932125,0.008064185811666508,0.008064185811666508,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_07,book_to_market,decile_07,70,-0.3917123701555003,-0.6984645567038997,-0.7000533670394099,0.0015888103355101713,0.2442575678446596,0.24509317272179,0.006504651419933102,0.006504651419933102,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_08,book_to_market,decile_08,70,-0.16906107611414867,-0.6984645567038997,-0.6951432404703891,-0.0033213162335106183,0.2442575678446596,0.24164750477441238,-0.013597598071650637,0.013597598071650637,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_09,book_to_market,decile_09,70,-0.340993858428019,-0.6984645567038997,-0.7012263525083559,0.002761795804456124,0.2442575678446596,0.2422646386585793,0.01130689963396566,0.01130689963396566,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,book_to_market__decile_10,book_to_market,decile_10,70,-0.47924537154162583,-0.6984645567038997,-0.6838442964580838,-0.014620260245815975,0.2442575678446596,0.2388054845791294,-0.05985591510971736,0.05985591510971736,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_01,earnings_to_price,decile_01,70,0.3674037770031306,-0.6984645567038997,-0.6890043881433074,-0.009460168560592286,0.2442575678446596,0.2370620247134241,-0.03873029869276626,0.03873029869276626,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_02,earnings_to_price,decile_02,70,0.21515810939249336,-0.6984645567038997,-0.6971267696171669,-0.0013377870867328223,0.2442575678446596,0.2444902659195935,-0.0054769524585769,0.0054769524585769,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_03,earnings_to_price,decile_03,70,-0.11713719354840524,-0.6984645567038997,-0.6999336828365739,0.0014691261326741367,0.2442575678446596,0.24497152698156754,0.006014659630150974,0.006014659630150974,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_04,earnings_to_price,decile_04,70,-0.05449604576900344,-0.6984645567038997,-0.6985466471903735,8.209048647378481e-05,0.2442575678446596,0.24427380985339806,0.0003360816501947316,0.0003360816501947316,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_05,earnings_to_price,decile_05,70,-0.17985100381793068,-0.6984645567038997,-0.7027321408053366,0.004267584101436905,0.2442575678446596,0.2451400038346104,0.01747165559329142,0.01747165559329142,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_06,earnings_to_price,decile_06,70,-0.24684352196199272,-0.6984645567038997,-0.7007264769338114,0.0022619202299116736,0.2442575678446596,0.24456279778492587,0.009260389554644982,0.009260389554644982,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_07,earnings_to_price,decile_07,70,-0.2028675136929416,-0.6984645567038997,-0.6923258039435359,-0.006138752760363797,0.2442575678446596,0.24198291491933555,-0.025132292991093146,0.025132292991093146,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_08,earnings_to_price,decile_08,70,-0.2763733051652346,-0.6984645567038997,-0.6922140637173271,-0.006250492986572653,0.2442575678446596,0.2412644248925432,-0.025589761831034757,0.025589761831034757,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_09,earnings_to_price,decile_09,70,-0.53996682842143,-0.6984645567038997,-0.7159532022617301,0.017488645557830362,0.2442575678446596,0.25120236558392767,0.07159919634077667,0.07159919634077667,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,earnings_to_price__decile_10,earnings_to_price,decile_10,70,-0.21546339895102934,-0.6984645567038997,-0.6916280964309192,-0.006836460272980571,0.2442575678446596,0.2404940234226539,-0.02798873473319915,0.02798873473319915,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_01,equity_duration,decile_01,70,-0.2757730743776661,-0.6984645567038997,-0.6943991700276555,-0.0040653866762442314,0.2442575678446596,0.2405613896625641,-0.016643851456138687,0.016643851456138687,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_02,equity_duration,decile_02,70,-0.6212963812089413,-0.6984645567038997,-0.7068643613036807,0.008399804599780958,0.2442575678446596,0.2546373439175566,0.034389127321217655,0.034389127321217655,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_03,equity_duration,decile_03,70,-0.21052604024417604,-0.6984645567038997,-0.6912012054796832,-0.007263351224216508,0.2442575678446596,0.2405545631625852,-0.02973644292092427,0.02973644292092427,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_04,equity_duration,decile_04,70,-0.2992811146997262,-0.6984645567038997,-0.6969594384889187,-0.001505118214981005,0.2442575678446596,0.2429853131784311,-0.006162012617509622,0.006162012617509622,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_05,equity_duration,decile_05,70,-0.03468774751433397,-0.6984645567038997,-0.6996161480211253,0.001151591317225531,0.2442575678446596,0.24499397630360203,0.0047146597232881155,0.0047146597232881155,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_06,equity_duration,decile_06,70,-0.10222213829188435,-0.6984645567038997,-0.6992642085574355,0.0007996518535358099,0.2442575678446596,0.24431807404353045,0.0032738058459845314,0.0032738058459845314,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_07,equity_duration,decile_07,70,-0.033996203455434026,-0.6984645567038997,-0.6989488508249563,0.0004842941210565499,0.2442575678446596,0.2444446236811911,0.001982719001625965,0.001982719001625965,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_08,equity_duration,decile_08,70,-0.13137619779919033,-0.6984645567038997,-0.6991527457553082,0.0006881890514084388,0.2442575678446596,0.24482858876694477,0.0028174727910420614,0.0028174727910420614,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_09,equity_duration,decile_09,70,0.1937273673461788,-0.6984645567038997,-0.7018685323140933,0.003403975610193566,0.2442575678446596,0.24435410403201016,0.013936008780527902,0.013936008780527902,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,equity_duration__decile_10,equity_duration,decile_10,70,0.3853035677664105,-0.6984645567038997,-0.678948144025423,-0.019516412678476702,0.2442575678446596,0.2378775239324581,-0.07990095394255521,0.07990095394255521,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_01,inventory_growth,decile_01,70,0.1378085262815926,-0.6984645567038997,-0.7117372388836033,0.013272682179703565,0.2442575678446596,0.24934522357466804,0.05433887800006503,0.05433887800006503,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_02,inventory_growth,decile_02,70,-0.03906799453335866,-0.6984645567038997,-0.6993556247443935,0.0008910680404937699,0.2442575678446596,0.24448738300160372,0.0036480672773277676,0.0036480672773277676,False,confirmatory
all_seven_families_joint,market_plus_fedfunds_innovation,inventory_growth__decile_03,inventory_growth,decile_03,70,-0.0645053741149414,-0.6984645567038997,-0.6984647505518765,1.9384797678156929e-07,0.2442575678446596,0.2442551558636406,7.936211700300345e-07,7.936211700300345e-07,False,confirmatory
