portfolio_set,is_headline_asset_set,comparison_role,treatment_model,treatment_role,comparator_model,comparator_selection_rule,comparator_selected_after_observing_rmse,model_selection_uncertainty,n_assets,n_months,common_intersection_verified,rmse_relative_reduction__treatment_value,rmse_relative_reduction__comparator_value,rmse_relative_reduction__observed,rmse_relative_reduction__threshold,rmse_relative_reduction__comparison,rmse_relative_reduction__passed,mae_relative_reduction__treatment_value,mae_relative_reduction__comparator_value,mae_relative_reduction__observed,mae_relative_reduction__threshold,mae_relative_reduction__comparison,mae_relative_reduction__passed,max_absolute_error_reduction__treatment_value,max_absolute_error_reduction__comparator_value,max_absolute_error_reduction__observed,max_absolute_error_reduction__threshold,max_absolute_error_reduction__comparison,max_absolute_error_reduction__passed,n_gates_passed,n_gates_total,classification,classification_interpretation,multiplicity_family,p_value_generated,holm_adjustment_applied,holm_status,replication_status
all_seven_families_joint,True,secondary_adversarial,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,carhart_4,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",70,504,True,0.1003931392805178,0.0720363361755503,-0.39364582668200737,0.1,relative_reduction_at_least,False,0.0816409044748143,0.0559756026330788,-0.45850871869968196,0.1,relative_reduction_at_least,False,0.2388314851092728,0.242703503926509,0.0038720188172362002,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
all_seven_families_joint,True,secondary_adversarial,market_plus_tbill_innovation,registered_alternative_short_rate_specification,carhart_4,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",70,504,True,0.1084178159584235,0.0720363361755503,-0.5050434504916055,0.1,relative_reduction_at_least,False,0.0858155939374726,0.0559756026330788,-0.533089237109166,0.1,relative_reduction_at_least,False,0.2781165481913268,0.242703503926509,-0.03541304426481781,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
book_to_market,False,secondary_adversarial,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.0879719753761659,0.0282051638413204,-2.119002458949998,0.1,relative_reduction_at_least,False,0.0776153447025955,0.0244314863125043,-2.17685726156051,0.1,relative_reduction_at_least,False,0.1623368365687916,0.041727212980352,-0.1206096235884396,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
book_to_market,False,secondary_adversarial,market_plus_tbill_innovation,registered_alternative_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.0797231960486344,0.0282051638413204,-1.8265461068458813,0.1,relative_reduction_at_least,False,0.057984931741581,0.0244314863125043,-1.373368979680278,0.1,relative_reduction_at_least,False,0.1633708851650699,0.041727212980352,-0.12164367218471789,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
earnings_to_price,False,secondary_adversarial,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.1100428451039705,0.0273215246898415,-3.0276978079808945,0.1,relative_reduction_at_least,False,0.0981973001363729,0.0191364832622235,-4.1314182857317325,0.1,relative_reduction_at_least,False,0.1681465179424436,0.0589308684025007,-0.1092156495399429,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
earnings_to_price,False,secondary_adversarial,market_plus_tbill_innovation,registered_alternative_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.1316673715063717,0.0273215246898415,-3.8191809571786948,0.1,relative_reduction_at_least,False,0.1055257123426919,0.0191364832622235,-4.514373299246974,0.1,relative_reduction_at_least,False,0.2713408559209578,0.0589308684025007,-0.2124099875184571,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
equity_duration,False,secondary_adversarial,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.0961506503634802,0.0338179984791937,-1.8431798062394569,0.1,relative_reduction_at_least,False,0.0839755394909492,0.0248695967551404,-2.376634543686035,0.1,relative_reduction_at_least,False,0.1516378985638562,0.078346976022382,-0.07329092254147421,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
equity_duration,False,secondary_adversarial,market_plus_tbill_innovation,registered_alternative_short_rate_specification,fama_french_5,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.0946587342982261,0.0338179984791937,-1.7990637694440805,0.1,relative_reduction_at_least,False,0.0752391903505183,0.0248695967551404,-2.025348223025241,0.1,relative_reduction_at_least,False,0.1870292771693253,0.078346976022382,-0.1086823011469433,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
long_term_reversal,False,secondary_adversarial,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,carhart_4,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.099337207311408,0.0424741520414888,-1.338768463567567,0.1,relative_reduction_at_least,False,0.0912610930472257,0.0365630490144587,-1.495992416035569,0.1,relative_reduction_at_least,False,0.1842403936428321,0.0828646935880808,-0.1013757000547513,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
long_term_reversal,False,secondary_adversarial,market_plus_tbill_innovation,registered_alternative_short_rate_specification,carhart_4,selected after observing baseline cross-sectional RMSE; lowest RMSE among the registered non-short-rate comparators on the same asset set; not used to choose the primary comparator,True,"This comparator was chosen AFTER observing cross-sectional RMSE. The comparison therefore carries model-selection uncertainty and is reported as a secondary adversarial check only, per research/statistical_protocol.md.",10,504,True,0.0987072509559858,0.0424741520414888,-1.3239369407438304,0.1,relative_reduction_at_least,False,0.0846413297210893,0.0365630490144587,-1.314941778723603,0.1,relative_reduction_at_least,False,0.1713594784688821,0.0828646935880808,-0.08849478488080131,0.25,absolute_reduction_at_least,False,0,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
