portfolio_set,is_headline_asset_set,comparison_role,treatment_model,treatment_role,comparator_model,comparator_selection_rule,comparator_selected_after_observing_rmse,model_selection_uncertainty,n_assets,n_months,common_intersection_verified,rmse_relative_reduction__treatment_value,rmse_relative_reduction__comparator_value,rmse_relative_reduction__observed,rmse_relative_reduction__threshold,rmse_relative_reduction__comparison,rmse_relative_reduction__passed,mae_relative_reduction__treatment_value,mae_relative_reduction__comparator_value,mae_relative_reduction__observed,mae_relative_reduction__threshold,mae_relative_reduction__comparison,mae_relative_reduction__passed,max_absolute_error_reduction__treatment_value,max_absolute_error_reduction__comparator_value,max_absolute_error_reduction__observed,max_absolute_error_reduction__threshold,max_absolute_error_reduction__comparison,max_absolute_error_reduction__passed,n_gates_passed,n_gates_total,classification,classification_interpretation,multiplicity_family,p_value_generated,holm_adjustment_applied,holm_status,replication_status
all_seven_families_joint,True,primary,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,70,504,True,0.1003931392805178,0.1893271831372064,0.46973732130286666,0.1,relative_reduction_at_least,True,0.0816409044748143,0.1465746286075292,0.443007939024581,0.1,relative_reduction_at_least,True,0.2388314851092728,0.4752463427397641,0.23641485763049133,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
all_seven_families_joint,True,primary,market_plus_tbill_innovation,registered_alternative_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,70,504,True,0.1084178159584235,0.1893271831372064,0.42735208879195896,0.1,relative_reduction_at_least,True,0.0858155939374726,0.1465746286075292,0.4145262740712519,0.1,relative_reduction_at_least,True,0.2781165481913268,0.4752463427397641,0.19712979454843732,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
book_to_market,False,primary,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.0879719753761659,0.1930394729975774,0.5442798614702501,0.1,relative_reduction_at_least,True,0.0776153447025955,0.1538447225664292,0.49549556586784005,0.1,relative_reduction_at_least,True,0.1623368365687916,0.3751120745407226,0.21277523797193099,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
book_to_market,False,primary,market_plus_tbill_innovation,registered_alternative_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.0797231960486344,0.1930394729975774,0.5870109112366106,0.1,relative_reduction_at_least,True,0.057984931741581,0.1538447225664292,0.6230944372073376,0.1,relative_reduction_at_least,True,0.1633708851650699,0.3751120745407226,0.2117411893756527,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
earnings_to_price,False,primary,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.1100428451039705,0.2130857547849451,0.4835748395521312,0.1,relative_reduction_at_least,True,0.0981973001363729,0.1831878521205475,0.46395299142568813,0.1,relative_reduction_at_least,True,0.1681465179424436,0.4117799886098136,0.24363347066736998,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
earnings_to_price,False,primary,market_plus_tbill_innovation,registered_alternative_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.1316673715063717,0.2130857547849451,0.3820920988394751,0.1,relative_reduction_at_least,True,0.1055257123426919,0.1831878521205475,0.42394808869067213,0.1,relative_reduction_at_least,True,0.2713408559209578,0.4117799886098136,0.14043913268885577,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
equity_duration,False,primary,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.0961506503634802,0.2286817528074735,0.5795438456148745,0.1,relative_reduction_at_least,True,0.0839755394909492,0.1793365275876933,0.5317432504101195,0.1,relative_reduction_at_least,True,0.1516378985638562,0.5150019028969601,0.3633640043331039,0.25,absolute_reduction_at_least,True,3,3,supported,The short-rate factor has economically meaningful incremental pricing content against the ex ante primary comparator in the baseline sample.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
equity_duration,False,primary,market_plus_tbill_innovation,registered_alternative_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.0946587342982261,0.2286817528074735,0.5860678294786422,0.1,relative_reduction_at_least,True,0.0752391903505183,0.1793365275876933,0.5804580842364795,0.1,relative_reduction_at_least,True,0.1870292771693253,0.5150019028969601,0.32797262572763486,0.25,absolute_reduction_at_least,True,3,3,supported,The short-rate factor has economically meaningful incremental pricing content against the ex ante primary comparator in the baseline sample.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
long_term_reversal,False,primary,market_plus_fedfunds_innovation,registered_baseline_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.099337207311408,0.1543266017921998,0.3563183135130185,0.1,relative_reduction_at_least,True,0.0912610930472257,0.126263574548786,0.27721757147019443,0.1,relative_reduction_at_least,True,0.1842403936428321,0.325087242223805,0.14084684858097288,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
long_term_reversal,False,primary,market_plus_tbill_innovation,registered_alternative_short_rate_specification,capm,chosen ex ante as primary comparator independently of observed RMSE,False,none,10,504,True,0.0987072509559858,0.1543266017921998,0.3604002821957115,0.1,relative_reduction_at_least,True,0.0846413297210893,0.126263574548786,0.3296457032555704,0.1,relative_reduction_at_least,True,0.1713594784688821,0.325087242223805,0.15372776375492286,0.25,absolute_reduction_at_least,False,2,3,unsupported,The baseline does not support an economically meaningful incremental pricing claim.,baseline_pricing,False,False,"The registered secondary comparator family uses Holm adjustment for secondary p-values. The materiality gates executed here are deterministic threshold comparisons on point estimates, so no p-value is generated in this pass and Holm adjustment therefore does not yet apply. No p-value is invented to fill the slot.",documented_reconstruction
