asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,significant_unadjusted_5pct,scope,reference_regime,hac_lags,evidence_class,hypothesis,replication_status,rate_interaction_coefficient__elb_qe,rate_interaction_coefficient__inflation_tightening,rate_interaction_coefficient__normalisation,rate_interaction_coefficient__pandemic_elb_qe,rate_interaction_coefficient__post_tightening_easing,rate_interaction_t__elb_qe,rate_interaction_t__inflation_tightening,rate_interaction_t__normalisation,rate_interaction_t__pandemic_elb_qe,rate_interaction_t__post_tightening_easing
portfolio_excess_return__book_to_market__decile_01,joint_regime_factor_interactions,10.0,70.19098454589098,4.0728013969546236e-11,10.0,648.0,4.928089690315095e-09,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.988336183449144,-2.3941721552712987,-4.537041479526515,2.528313070043721,7.105759543835362,0.6358400235471224,-1.3430346579203591,-3.646938199543759,1.2922837142139691,2.54604288579332
portfolio_excess_return__book_to_market__decile_01,joint_rate_beta_regime_interactions,5.0,22.862792330745087,0.00035857416372196503,5.0,648.0,0.024741617296815586,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.988336183449144,-2.3941721552712987,-4.537041479526515,2.528313070043721,7.105759543835362,0.6358400235471224,-1.3430346579203591,-3.646938199543759,1.2922837142139691,2.54604288579332
portfolio_excess_return__book_to_market__decile_02,joint_regime_factor_interactions,10.0,32.25758178354826,0.0003627136598224824,10.0,648.0,0.024741617296815586,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.2859796673750274,0.06745192511272036,-3.1823413391300392,0.5278250956192885,-8.93101824492609,-1.4752230347443958,0.059492729443341844,-3.0162229531296143,0.25609899229339184,-2.279410044515224
portfolio_excess_return__book_to_market__decile_02,joint_rate_beta_regime_interactions,5.0,17.879404897634224,0.0031014035693366564,5.0,648.0,0.15507017846683283,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.2859796673750274,0.06745192511272036,-3.1823413391300392,0.5278250956192885,-8.93101824492609,-1.4752230347443958,0.059492729443341844,-3.0162229531296143,0.25609899229339184,-2.279410044515224
portfolio_excess_return__book_to_market__decile_03,joint_regime_factor_interactions,10.0,36.34382498538278,7.345723045834641e-05,10.0,648.0,0.005509292284375981,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-2.240428509073304,-1.806357547596111,-0.5604060209359965,-0.6279081902112491,-3.3205539185339132,-0.4827913246274522,-0.9998571900752479,-0.6265643735934981,-0.2244307648168069,-0.9919823530151777
portfolio_excess_return__book_to_market__decile_03,joint_rate_beta_regime_interactions,5.0,3.3311930700583368,0.6490695284498851,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-2.240428509073304,-1.806357547596111,-0.5604060209359965,-0.6279081902112491,-3.3205539185339132,-0.4827913246274522,-0.9998571900752479,-0.6265643735934981,-0.2244307648168069,-0.9919823530151777
portfolio_excess_return__book_to_market__decile_04,joint_regime_factor_interactions,10.0,32.61457600630405,0.0003161200113713596,10.0,648.0,0.022128400795995172,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-5.77687240340579,2.598855278429637,-0.4434488098022502,-1.286013996137017,2.0759072162133405,-1.141252864727792,2.238320010003156,-0.41204993182677774,-0.6465862124969157,1.2391721451309974
portfolio_excess_return__book_to_market__decile_04,joint_rate_beta_regime_interactions,5.0,9.08642161769825,0.10566634460369739,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-5.77687240340579,2.598855278429637,-0.4434488098022502,-1.286013996137017,2.0759072162133405,-1.141252864727792,2.238320010003156,-0.41204993182677774,-0.6465862124969157,1.2391721451309974
portfolio_excess_return__book_to_market__decile_05,joint_regime_factor_interactions,10.0,101.18188547582145,3.160232645495949e-17,10.0,648.0,4.234711744964572e-15,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-9.878758096354895,-0.39271735830300264,4.769604859469109,0.3096685839991835,-5.352689064920013,-1.1166028779503907,-0.30130349365336395,5.449570165766183,0.3139017068026625,-1.469314456032385
portfolio_excess_return__book_to_market__decile_05,joint_rate_beta_regime_interactions,5.0,32.93074599993405,3.884491935716129e-06,5.0,648.0,0.0003496042742144516,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-9.878758096354895,-0.39271735830300264,4.769604859469109,0.3096685839991835,-5.352689064920013,-1.1166028779503907,-0.30130349365336395,5.449570165766183,0.3139017068026625,-1.469314456032385
