asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,significant_unadjusted_5pct,scope,reference_regime,hac_lags,evidence_class,hypothesis,replication_status,rate_interaction_coefficient__elb_qe,rate_interaction_coefficient__inflation_tightening,rate_interaction_coefficient__normalisation,rate_interaction_coefficient__pandemic_elb_qe,rate_interaction_coefficient__post_tightening_easing,rate_interaction_t__elb_qe,rate_interaction_t__inflation_tightening,rate_interaction_t__normalisation,rate_interaction_t__pandemic_elb_qe,rate_interaction_t__post_tightening_easing
portfolio_excess_return__book_to_market__decile_06,joint_regime_factor_interactions,10.0,41.2441582481034,1.0214531559221132e-05,10.0,648.0,0.0008682351825337962,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.5052599916886145,3.6449442533486685,2.5511058242640647,-3.350748362398745,0.8230081697552247,0.33585907967875234,2.607900997394414,2.8623261251531096,-1.1807637630689523,0.12049859953395754
portfolio_excess_return__book_to_market__decile_06,joint_rate_beta_regime_interactions,5.0,17.08822563707042,0.004335478530913475,5.0,648.0,0.19509653389110637,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.5052599916886145,3.6449442533486685,2.5511058242640647,-3.350748362398745,0.8230081697552247,0.33585907967875234,2.607900997394414,2.8623261251531096,-1.1807637630689523,0.12049859953395754
portfolio_excess_return__book_to_market__decile_07,joint_regime_factor_interactions,10.0,73.22575423494808,1.0526146896950581e-11,10.0,648.0,1.3157683621188226e-09,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-8.780496868777128,1.187718344818844,4.107429628562216,-3.513042064654684,4.2471123924811245,-0.971999232401338,0.8815518359452267,4.003707697133307,-1.1508881278942849,1.2710731373862934
portfolio_excess_return__book_to_market__decile_07,joint_rate_beta_regime_interactions,5.0,19.414040803790886,0.0016089453847436127,5.0,648.0,0.08771591367133283,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-8.780496868777128,1.187718344818844,4.107429628562216,-3.513042064654684,4.2471123924811245,-0.971999232401338,0.8815518359452267,4.003707697133307,-1.1508881278942849,1.2710731373862934
portfolio_excess_return__book_to_market__decile_08,joint_regime_factor_interactions,10.0,39.77773498769675,1.854172498362118e-05,10.0,648.0,0.0015389631736405578,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,0.8874734489456877,2.7802402598714138,7.9345867773778584,-4.0490883454802535,2.508578492548855,0.12346317678637878,1.7906836590555475,4.5824232857157305,-1.9183493335788215,0.5189122842524285
portfolio_excess_return__book_to_market__decile_08,joint_rate_beta_regime_interactions,5.0,26.192638205207146,8.187753177484481e-05,5.0,648.0,0.006058937351338516,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,0.8874734489456877,2.7802402598714138,7.9345867773778584,-4.0490883454802535,2.508578492548855,0.12346317678637878,1.7906836590555475,4.5824232857157305,-1.9183493335788215,0.5189122842524285
portfolio_excess_return__book_to_market__decile_09,joint_regime_factor_interactions,10.0,39.55865898017726,2.0260820761857227e-05,10.0,648.0,0.0016613873024722927,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,5.613204767484207,3.8712725677997604,8.230451681944526,-0.5971902194039789,0.2605354509368043,0.3911904395178412,2.5177281139099796,4.441611179330139,-0.11493874918070322,0.11162842511594734
portfolio_excess_return__book_to_market__decile_09,joint_rate_beta_regime_interactions,5.0,26.467773373678945,7.239879151329078e-05,5.0,648.0,0.005502308155010099,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,5.613204767484207,3.8712725677997604,8.230451681944526,-0.5971902194039789,0.2605354509368043,0.3911904395178412,2.5177281139099796,4.441611179330139,-0.11493874918070322,0.11162842511594734
portfolio_excess_return__book_to_market__decile_10,joint_regime_factor_interactions,10.0,110.00376386400342,5.326422821895953e-19,10.0,648.0,7.297199265997456e-17,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.4451835242794,1.6793874130401911,17.091695752631214,-26.34961311865272,2.400417947424831,-0.7636412359316898,0.8696091084096955,8.803126802328116,-4.093515615374155,0.3908582993180732
portfolio_excess_return__book_to_market__decile_10,joint_rate_beta_regime_interactions,5.0,85.53842714308514,5.804540498045692e-17,5.0,648.0,7.72003886240077e-15,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.4451835242794,1.6793874130401911,17.091695752631214,-26.34961311865272,2.400417947424831,-0.7636412359316898,0.8696091084096955,8.803126802328116,-4.093515615374155,0.3908582993180732
portfolio_excess_return__earnings_to_price__decile_01,joint_regime_factor_interactions,10.0,26.345074006256137,0.003302777425749155,10.0,648.0,0.16183609386170858,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.255499191665084,-1.632302528521747,-4.895186239583517,1.5755522851361672,8.226506115010004,-0.7232057555472962,-0.4699527120152473,-1.8924627846546076,0.35085171504340423,1.6571949668721253
portfolio_excess_return__earnings_to_price__decile_01,joint_rate_beta_regime_interactions,5.0,7.369578132775914,0.19457296909881958,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.255499191665084,-1.632302528521747,-4.895186239583517,1.5755522851361672,8.226506115010004,-0.7232057555472962,-0.4699527120152473,-1.8924627846546076,0.35085171504340423,1.6571949668721253
portfolio_excess_return__earnings_to_price__decile_02,joint_regime_factor_interactions,10.0,101.4738573946918,2.761983971629503e-17,10.0,648.0,3.728678361699829e-15,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.719540947744111,-4.3268510691590745,-1.9225519001437372,2.149017187881901,1.9319859847641068,0.34101170455454616,-1.6348257136423536,-2.2692322997556293,0.9124742540293911,0.5962173369067671
portfolio_excess_return__earnings_to_price__decile_02,joint_rate_beta_regime_interactions,5.0,9.960094668568338,0.07637387446720764,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.719540947744111,-4.3268510691590745,-1.9225519001437372,2.149017187881901,1.9319859847641068,0.34101170455454616,-1.6348257136423536,-2.2692322997556293,0.9124742540293911,0.5962173369067671
portfolio_excess_return__earnings_to_price__decile_03,joint_regime_factor_interactions,10.0,62.647735910929946,1.1394406417333602e-09,10.0,648.0,1.344539957245365e-07,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,10.359807158291957,0.9679167004781033,-2.9772065993826398,4.98414187647862,0.7510901038930604,1.4235392944521006,0.6082236860836489,-2.7502726385397156,1.8709272058252375,0.25109492025250874
portfolio_excess_return__earnings_to_price__decile_03,joint_rate_beta_regime_interactions,5.0,14.376909068393584,0.013384443538179283,5.0,648.0,0.5219932979889921,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,10.359807158291957,0.9679167004781033,-2.9772065993826398,4.98414187647862,0.7510901038930604,1.4235392944521006,0.6082236860836489,-2.7502726385397156,1.8709272058252375,0.25109492025250874
portfolio_excess_return__earnings_to_price__decile_04,joint_regime_factor_interactions,10.0,10.949996118117053,0.36142703320382413,10.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.474710306002084,-0.46829674709803015,-0.6622364321607606,-2.6681922146233124,-1.5503052253249843,0.4079962572177649,-0.3726176200931787,-0.887158496561858,-1.427631765824178,-0.4307553011081983
portfolio_excess_return__earnings_to_price__decile_04,joint_rate_beta_regime_interactions,5.0,3.232052224426104,0.6642594188004779,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.474710306002084,-0.46829674709803015,-0.6622364321607606,-2.6681922146233124,-1.5503052253249843,0.4079962572177649,-0.3726176200931787,-0.887158496561858,-1.427631765824178,-0.4307553011081983
portfolio_excess_return__earnings_to_price__decile_05,joint_regime_factor_interactions,10.0,103.8471161145983,9.230460552353221e-18,10.0,648.0,1.2553426351200381e-15,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.476977870490259,0.6269037777395607,4.087593398253525,10.199825539566179,-5.847966551242463,0.567444428406273,0.552324380754632,2.176947465441368,6.157010264315972,-0.8083217785597513
portfolio_excess_return__earnings_to_price__decile_05,joint_rate_beta_regime_interactions,5.0,45.866141127502665,9.670211310147917e-09,5.0,648.0,1.0830636667365667e-06,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,2.476977870490259,0.6269037777395607,4.087593398253525,10.199825539566179,-5.847966551242463,0.567444428406273,0.552324380754632,2.176947465441368,6.157010264315972,-0.8083217785597513
portfolio_excess_return__earnings_to_price__decile_06,joint_regime_factor_interactions,10.0,52.1916522467557,1.051574935814618e-07,10.0,648.0,1.0831221838890565e-05,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-5.782287709718597,-1.5968950891672158,1.1007451942955955,-0.9536385341493965,4.818016144091272,-0.5734348110642206,-0.7740492056335984,0.8975272867461165,-0.47625654753209273,2.2047682491748097
portfolio_excess_return__earnings_to_price__decile_06,joint_rate_beta_regime_interactions,5.0,7.417299642815437,0.1914084306895739,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-5.782287709718597,-1.5968950891672158,1.1007451942955955,-0.9536385341493965,4.818016144091272,-0.5734348110642206,-0.7740492056335984,0.8975272867461165,-0.47625654753209273,2.2047682491748097
portfolio_excess_return__earnings_to_price__decile_07,joint_regime_factor_interactions,10.0,10.815795559853294,0.3720482652676566,10.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,6.084735880443404,-0.4517616106138126,-0.27517653654625196,-1.5028616727518624,4.397853680974228,1.0368021322585501,-0.20748305283040647,-0.20579655823862417,-0.7922111783102117,0.7898597927091439
portfolio_excess_return__earnings_to_price__decile_07,joint_rate_beta_regime_interactions,5.0,2.376988952386444,0.7948959173967435,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,6.084735880443404,-0.4517616106138126,-0.27517653654625196,-1.5028616727518624,4.397853680974228,1.0368021322585501,-0.20748305283040647,-0.20579655823862417,-0.7922111783102117,0.7898597927091439
portfolio_excess_return__earnings_to_price__decile_08,joint_regime_factor_interactions,10.0,72.11424315289466,1.7291393789196335e-11,10.0,648.0,2.1268414360711492e-09,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.031864011966846,5.822981948075545,2.2896759353889795,-4.847184374324197,1.933994973289768,-2.1481956475452875,2.3282722102326154,1.8164494487901481,-3.9672023201699904,0.5330307235610949
portfolio_excess_return__earnings_to_price__decile_08,joint_rate_beta_regime_interactions,5.0,30.801374610679563,1.0252203654556273e-05,5.0,648.0,0.0008682351825337962,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.031864011966846,5.822981948075545,2.2896759353889795,-4.847184374324197,1.933994973289768,-2.1481956475452875,2.3282722102326154,1.8164494487901481,-3.9672023201699904,0.5330307235610949
portfolio_excess_return__earnings_to_price__decile_09,joint_regime_factor_interactions,10.0,48.59014057782871,4.841645423000325e-07,10.0,648.0,4.7932289687703216e-05,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.898290054014556,-0.7702193122288177,6.748605401286807,-6.316074382610022,2.786278784427182,-1.6308213590194973,-0.4354548154553779,3.7143554107212458,-2.658211060004238,0.647385628861636
portfolio_excess_return__earnings_to_price__decile_09,joint_rate_beta_regime_interactions,5.0,22.107121216109334,0.0004996071890766314,5.0,648.0,0.0334736816681343,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-16.898290054014556,-0.7702193122288177,6.748605401286807,-6.316074382610022,2.786278784427182,-1.6308213590194973,-0.4354548154553779,3.7143554107212458,-2.658211060004238,0.647385628861636
portfolio_excess_return__earnings_to_price__decile_10,joint_regime_factor_interactions,10.0,60.88064956751736,2.4683968349455156e-09,10.0,648.0,2.8633403285367984e-07,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-18.37402824976404,5.197761502481646,10.436477630043065,-6.3656671902406785,-1.8080513464848682,-1.509202532567662,2.17984663001633,4.6305680468355055,-1.305825449921922,-0.31794786295756305
portfolio_excess_return__earnings_to_price__decile_10,joint_rate_beta_regime_interactions,5.0,41.55043787773581,7.26244906895793e-08,5.0,648.0,7.698196013095405e-06,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-18.37402824976404,5.197761502481646,10.436477630043065,-6.3656671902406785,-1.8080513464848682,-1.509202532567662,2.17984663001633,4.6305680468355055,-1.305825449921922,-0.31794786295756305
portfolio_excess_return__equity_duration__decile_01,joint_regime_factor_interactions,10.0,55.27884373109851,2.8010140021271944e-08,10.0,648.0,3.02509512229737e-06,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-10.098057379252303,1.9389908486020522,11.888384408368625,-6.272393021312309,9.622514946237787,-1.100095832384901,1.067513632866536,5.056498930904109,-1.7977644162815505,0.8683150391035864
portfolio_excess_return__equity_duration__decile_01,joint_rate_beta_regime_interactions,5.0,35.833733780713025,1.025389075811206e-06,5.0,648.0,9.536118405044216e-05,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-10.098057379252303,1.9389908486020522,11.888384408368625,-6.272393021312309,9.622514946237787,-1.100095832384901,1.067513632866536,5.056498930904109,-1.7977644162815505,0.8683150391035864
portfolio_excess_return__equity_duration__decile_02,joint_regime_factor_interactions,10.0,53.355170581415706,6.396331325027315e-08,10.0,648.0,6.844074517779227e-06,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-17.66711826483688,-1.3919345273998942,7.235028489209273,-2.4161719755327056,2.1892032419233036,-1.7318673595697092,-0.6265471200955607,4.880337062853446,-0.9714569493284272,0.38851844306161615
portfolio_excess_return__equity_duration__decile_02,joint_rate_beta_regime_interactions,5.0,28.331487300121914,3.1350793850560405e-05,5.0,648.0,0.002476712714194272,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-17.66711826483688,-1.3919345273998942,7.235028489209273,-2.4161719755327056,2.1892032419233036,-1.7318673595697092,-0.6265471200955607,4.880337062853446,-0.9714569493284272,0.38851844306161615
portfolio_excess_return__equity_duration__decile_03,joint_regime_factor_interactions,10.0,126.20869523778707,2.767679422560592e-22,10.0,648.0,3.8747511915848284e-20,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,8.47765665064687,4.277063603620239,8.63953906561089,-7.308417038127335,6.793490637040454,0.8765335855557211,2.2091973068127038,9.749618326305558,-2.6058125406201382,2.0286681950058654
portfolio_excess_return__equity_duration__decile_03,joint_rate_beta_regime_interactions,5.0,103.76340116339988,8.500481434233825e-21,5.0,648.0,1.1815669193585016e-18,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,8.47765665064687,4.277063603620239,8.63953906561089,-7.308417038127335,6.793490637040454,0.8765335855557211,2.2091973068127038,9.749618326305558,-2.6058125406201382,2.0286681950058654
portfolio_excess_return__equity_duration__decile_04,joint_regime_factor_interactions,10.0,34.792430370586594,0.0001354678501373688,10.0,648.0,0.009753685209890553,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-15.376523343726927,1.4231953887827904,0.4377988219274096,0.4026266381658363,0.334111046654086,-1.8759377629941834,0.8553708688002096,0.4461239427633414,0.09005518442091134,0.07764516865895876
portfolio_excess_return__equity_duration__decile_04,joint_rate_beta_regime_interactions,5.0,4.871590171627873,0.4317518185739393,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-15.376523343726927,1.4231953887827904,0.4377988219274096,0.4026266381658363,0.334111046654086,-1.8759377629941834,0.8553708688002096,0.4461239427633414,0.09005518442091134,0.07764516865895876
portfolio_excess_return__equity_duration__decile_05,joint_regime_factor_interactions,10.0,29.054054661763402,0.0012211819538625259,10.0,648.0,0.07204973527788902,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.764786095165631,2.7795128524280273,2.1545362335528013,-1.9663252742716768,-0.896086985187706,-0.805908224728837,1.5833866135333894,1.7719454988801526,-1.3751926185563308,-0.23999198695186436
portfolio_excess_return__equity_duration__decile_05,joint_rate_beta_regime_interactions,5.0,8.364749121852734,0.13724630582421507,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-6.764786095165631,2.7795128524280273,2.1545362335528013,-1.9663252742716768,-0.896086985187706,-0.805908224728837,1.5833866135333894,1.7719454988801526,-1.3751926185563308,-0.23999198695186436
portfolio_excess_return__equity_duration__decile_06,joint_regime_factor_interactions,10.0,24.30203653295372,0.006837809142309539,10.0,648.0,0.2940257931193102,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-4.195651281958277,-0.38359158158949846,0.09972273451647506,3.241707142143934,6.490971828229487,-0.7714393888181308,-0.1909827197233815,0.10281584991348301,1.499019115271889,1.873364314207664
portfolio_excess_return__equity_duration__decile_06,joint_rate_beta_regime_interactions,5.0,6.467938552697833,0.26330988292448676,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-4.195651281958277,-0.38359158158949846,0.09972273451647506,3.241707142143934,6.490971828229487,-0.7714393888181308,-0.1909827197233815,0.10281584991348301,1.499019115271889,1.873364314207664
portfolio_excess_return__equity_duration__decile_07,joint_regime_factor_interactions,10.0,43.45058110858691,4.130249679944112e-06,10.0,648.0,0.000367592221515026,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-14.602160360174246,0.12948375555914593,-2.268351203443932,-1.0426106115818694,-8.754156204998884,-3.4449955964580763,0.13234746241876394,-3.336418785796397,-0.4293688357683457,-0.970018284643925
portfolio_excess_return__equity_duration__decile_07,joint_rate_beta_regime_interactions,5.0,26.15163998846474,8.339147889858306e-05,5.0,648.0,0.006087577959596564,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-14.602160360174246,0.12948375555914593,-2.268351203443932,-1.0426106115818694,-8.754156204998884,-3.4449955964580763,0.13234746241876394,-3.336418785796397,-0.4293688357683457,-0.970018284643925
portfolio_excess_return__equity_duration__decile_08,joint_regime_factor_interactions,10.0,31.315941138031445,0.000520214058568765,10.0,648.0,0.034334127865538494,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-2.1486381450847336,-0.5576217790306628,-3.3117523814081133,2.2631444599774184,3.893064444732927,-0.3724428344033241,-0.3541196260353478,-4.149188734964191,1.248578329996911,1.3700672410855892
portfolio_excess_return__equity_duration__decile_08,joint_rate_beta_regime_interactions,5.0,21.411250908225792,0.000677203112695262,5.0,648.0,0.04198659298710625,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,-2.1486381450847336,-0.5576217790306628,-3.3117523814081133,2.2631444599774184,3.893064444732927,-0.3724428344033241,-0.3541196260353478,-4.149188734964191,1.248578329996911,1.3700672410855892
portfolio_excess_return__equity_duration__decile_09,joint_regime_factor_interactions,10.0,56.81867236096861,1.4416335645218878e-08,10.0,648.0,1.6002132566192954e-06,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,15.731229553246417,-2.724941433560498,-2.2448174974232487,1.87257773011925,2.5471882861582418,2.589872084190796,-1.4471426392812756,-1.5757294544265383,0.5190494717322964,0.620162438255354
portfolio_excess_return__equity_duration__decile_09,joint_rate_beta_regime_interactions,5.0,11.828147186216649,0.03721996663839525,5.0,648.0,1.0,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,15.731229553246417,-2.724941433560498,-2.2448174974232487,1.87257773011925,2.5471882861582418,2.589872084190796,-1.4471426392812756,-1.5757294544265383,0.5190494717322964,0.620162438255354
portfolio_excess_return__equity_duration__decile_10,joint_regime_factor_interactions,10.0,19.108507974492387,0.03890591577093943,10.0,648.0,1.0,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,8.039743460876075,0.2342223960868337,-1.576510330799433,5.8238153185484975,-5.113646492589537,0.7728470547237355,0.08437747902528644,-0.6792214942075264,0.8329835922375022,-1.1883532489229143
portfolio_excess_return__equity_duration__decile_10,joint_rate_beta_regime_interactions,5.0,3.154357505373586,0.6762022938639184,5.0,648.0,1.0,regime_stability,False,False,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,8.039743460876075,0.2342223960868337,-1.576510330799433,5.8238153185484975,-5.113646492589537,0.7728470547237355,0.08437747902528644,-0.6792214942075264,0.8329835922375022,-1.1883532489229143
portfolio_excess_return__inventory_growth__decile_01,joint_regime_factor_interactions,10.0,60.203450311274544,3.3167897224771636e-09,10.0,648.0,3.814308180848738e-07,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.1473560226233843,5.247381689571627,-3.8903908281246595,-1.3569730237167388,19.46805442235911,0.2814020093350811,2.822199836972498,-2.736106767321093,-0.48096314992967376,4.830278454952976
portfolio_excess_return__inventory_growth__decile_01,joint_rate_beta_regime_interactions,5.0,36.11693654408691,9.000022479322377e-07,5.0,648.0,8.550021355356259e-05,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,3.1473560226233843,5.247381689571627,-3.8903908281246595,-1.3569730237167388,19.46805442235911,0.2814020093350811,2.822199836972498,-2.736106767321093,-0.48096314992967376,4.830278454952976
portfolio_excess_return__inventory_growth__decile_02,joint_regime_factor_interactions,10.0,46.85880849458734,1.0017756536272264e-06,10.0,648.0,9.416691144095928e-05,regime_stability,True,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,4.212609258435652,2.189752365621225,1.0634868801619586,4.9894801971047045,10.63270072717661,0.5000975528766425,0.8823072943100618,1.740181359763906,2.985221832632492,1.4079716008872454
portfolio_excess_return__inventory_growth__decile_02,joint_rate_beta_regime_interactions,5.0,19.78482058329047,0.001371401401696754,5.0,648.0,0.07816987989671498,regime_stability,False,True,asset,conventional_pre_elb,6,confirmatory,H3,documented_reconstruction,4.212609258435652,2.189752365621225,1.0634868801619586,4.9894801971047045,10.63270072717661,0.5000975528766425,0.8823072943100618,1.740181359763906,2.985221832632492,1.4079716008872454
