regime_id,reference_regime,estimand,point_change,lower_90,upper_90,bound,one_sided_bound,tost_5pct_90pct_interval_passes,decision_category,strict_95pct_interval_sensitivity_passes,rule,sensitivity_rule
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_03,-0.13451368009247808,-0.4141079334966544,0.028166568845870238,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_04,-0.2822088787412897,-0.42086048681829463,0.08733414549330132,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_05,-0.06150407618595753,-0.19701759086697915,0.1112078362435167,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_06,-0.09267868857616351,-0.23274389932386957,0.11942096775697789,0.25,False,True,equivalent_within_bound,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_07,-0.0759821517810193,-0.2324980800332695,0.20830113656037197,0.25,False,True,equivalent_within_bound,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_08,-0.09110057254349901,-0.17280768152706705,0.06806514462563071,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_09,0.2126749991911967,-0.036938544216452616,0.26356299814799766,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__equity_duration__decile_10,0.3341340330097798,0.026284996126369427,0.4160413060100893,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_01,0.1287071752498242,-0.16105809685216915,0.26679936712355834,0.25,False,False,inconclusive,False,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
elb_qe,conventional_pre_elb,fitted_premium_change__portfolio_excess_return__inventory_growth__decile_02,-0.011967116927270413,-0.1936868614841141,0.14273868521926872,0.25,False,True,equivalent_within_bound,True,tost_5pct_90pct_interval,strict_95pct_interval_sensitivity
