asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__earnings_to_price__decile_01,joint_regime_factor_interactions,10.0,92.98590116123944,1.3672889753882631e-15,10.0,648.0,1.668092549973681e-13,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_01,joint_rate_beta_regime_interactions,5.0,68.1970813545394,2.430078572166189e-13,5.0,648.0,2.8188911437127795e-11,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_02,joint_regime_factor_interactions,10.0,125.59527895328316,3.6897100347398594e-22,10.0,648.0,4.8704172458566145e-20,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_02,joint_rate_beta_regime_interactions,5.0,22.51877527345922,0.0004170934199588693,5.0,648.0,0.020854670997943463,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_03,joint_regime_factor_interactions,10.0,23.99890308232483,0.0076033027617122715,10.0,648.0,0.2357023856130804,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_03,joint_rate_beta_regime_interactions,5.0,6.243630941997958,0.28322923002593364,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_04,joint_regime_factor_interactions,10.0,8.41422818697467,0.5884441101743806,10.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_04,joint_rate_beta_regime_interactions,5.0,3.299016769679146,0.6539922178439977,5.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_05,joint_regime_factor_interactions,10.0,139.61051967543085,5.0645523991991785e-25,10.0,648.0,6.887791262910883e-23,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_05,joint_rate_beta_regime_interactions,5.0,131.75897353740802,1.0074925785655909e-26,5.0,648.0,1.3802648326348594e-24,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_06,joint_regime_factor_interactions,10.0,22.814672279610207,0.011451715767856306,10.0,648.0,0.33209975726783286,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_06,joint_rate_beta_regime_interactions,5.0,12.792415120984696,0.02540369528297561,5.0,648.0,0.584284991508439,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__earnings_to_price__decile_07,joint_regime_factor_interactions,10.0,8.503630336701992,0.5797663591626943,10.0,648.0,1.0,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
