system,cross_section,n_test_assets,window_months,estimand,replications_requested,replications_used,true_value,mean_estimate,bias,attenuation_ratio,standard_deviation,standard_deviation_mcse,standard_deviation_relative_to_true_value,root_mean_squared_error,sign_error_probability,sign_error_probability_mcse,oracle_mean_shanken_standard_error,oracle_coverage_95,oracle_coverage_95_mcse,oracle_detection_probability,feasible_shanken_full_rank,feasible_mean_shanken_standard_error,feasible_coverage_95,feasible_coverage_95_mcse,feasible_detection_probability,economic_bound,standard_deviation_below_economic_bound
family_10_decile,book_to_market,10,12,fitted_premium_spread,2000,2000,0.2948091835679978,0.10492036925630029,-0.18988881431169752,0.3558924725019646,0.821853477956974,0.012997894346247462,2.787747206550007,0.8433049148801766,0.453,0.011130835548151809,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,15,fitted_premium_spread,2000,2000,0.2948091835679978,0.10073432570008893,-0.19407485786790885,0.3416933098247753,0.7033293129723998,0.01112339406698071,2.3857103244213445,0.7294448826891815,0.446,0.011114944894150398,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,18,fitted_premium_spread,2000,2000,0.2948091835679978,0.08776055531459412,-0.20704862825340367,0.2976859616530641,0.6324599833530533,0.01000257133703191,2.1453198156806277,0.6653380811206353,0.4555,0.01113597211742199,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,24,fitted_premium_spread,2000,2000,0.2948091835679978,0.10331605271165173,-0.19149313085634606,0.35045059133248424,0.5429676326605251,0.00858721914798915,1.8417595615208828,0.575617983003556,0.424,0.011050429855892486,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,30,fitted_premium_spread,2000,2000,0.2948091835679978,0.10102573551677306,-0.19378344805122472,0.34268177908871505,0.4975157354592171,0.007868381820528172,1.6875856085550505,0.5338072412534628,0.4105,0.010999767042987774,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,36,fitted_premium_spread,2000,2000,0.2948091835679978,0.10127811747159879,-0.193531066096399,0.34353786488553867,0.44126656190153674,0.006978781868011159,1.496787028684127,0.48173965386657275,0.414,0.01101371871803525,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,48,fitted_premium_spread,2000,2000,0.2948091835679978,0.09858990803584641,-0.19621927553215138,0.33441939237658325,0.3961114639220976,0.006264638521936607,1.3436198259771457,0.4419590974229904,0.404,0.010972328832112169,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,51,fitted_premium_spread,2000,2000,0.2948091835679978,0.09755964603360058,-0.19724953753439722,0.3309247183308943,0.37580398358649336,0.005943468762459723,1.2747363533192448,0.4243411361392756,0.398,0.010945227270367666,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,60,fitted_premium_spread,2000,2000,0.2948091835679978,0.1053582553013385,-0.1894509282666593,0.35737779273432163,0.3429496256265833,0.005423865834407064,1.1632935632328494,0.3917234901249271,0.37,0.010795832529267949,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,72,fitted_premium_spread,2000,2000,0.2948091835679978,0.12913206007120226,-0.16567712349679553,0.43801912310990787,0.33861335983445856,0.005355286305166166,1.1485848430374874,0.3768959899028162,0.364,0.010758810343155975,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,84,fitted_premium_spread,2000,2000,0.2948091835679978,0.12127231393951704,-0.17353686962848075,0.41135867096062007,0.3002295777588688,0.004748233640172733,1.0183861103825513,0.34670993003091266,0.3565,0.010709989495793168,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,120,fitted_premium_spread,2000,2000,0.2948091835679978,0.11909669440585986,-0.17571248916213794,0.40397891600412167,0.26880036568479354,0.004251169882603501,0.9117774501851456,0.32108003460436,0.3355,0.010557929484515418,,,,,,,,,,0.25,False
family_10_decile,book_to_market,10,180,fitted_premium_spread,2000,2000,0.2948091835679978,0.13159020086723688,-0.1632189827007609,0.4463571971355688,0.22009089490938039,0.003480812912922837,0.7465537275524403,0.27396389969277374,0.2605,0.009814268948831594,,,,,,,,,,0.25,True
family_10_decile,book_to_market,10,240,fitted_premium_spread,2000,2000,0.2948091835679978,0.1424161005078131,-0.1523930830601847,0.48307891492452365,0.2063355774527503,0.0032632678543500836,0.69989535249725,0.2564697547510951,0.2275,0.009373999946660976,,,,,,,,,,0.25,True
family_10_decile,book_to_market,10,444,fitted_premium_spread,2000,2000,0.2948091835679978,0.1721829520958129,-0.12262623147218488,0.5840488074758325,0.1742115163762834,0.002755214821731322,0.5909297473974432,0.2130062681166328,0.134,0.007617217339685143,,,,,,,,,,0.25,True
family_10_decile,book_to_market,10,648,fitted_premium_spread,2000,2000,0.2948091835679978,0.18520967898465313,-0.10959950458334466,0.6282357854090881,0.15495166561451046,0.002450613682914794,0.5255998600151166,0.18976318155081429,0.0895,0.006383171233799075,,,,,,,,,,0.25,True
family_10_decile,earnings_to_price,10,12,fitted_premium_spread,2000,2000,0.17714511422686677,0.08300121260848929,-0.09414390161837748,0.46854926239845957,0.7115440140483041,0.011253312379106171,4.016729544891889,0.7175686801261186,0.46,0.011144505372604026,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,15,fitted_premium_spread,2000,2000,0.17714511422686677,0.0882564115590238,-0.08888870266784296,0.4982153300936954,0.6019056127667446,0.009519343497339391,3.3978109720592924,0.608284820588795,0.437,0.01109123527836282,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,18,fitted_premium_spread,2000,2000,0.17714511422686677,0.08910199822471024,-0.08804311600215653,0.5029887423855157,0.5537795186706713,0.008758212829725337,3.1261348702028284,0.5605979037570868,0.433,0.011079508111825181,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,24,fitted_premium_spread,2000,2000,0.17714511422686677,0.08733837402080225,-0.08980674020606452,0.49303292615199906,0.46728454793793206,0.007390265231741492,2.6378630309808524,0.47572147513395513,0.4335,0.011081014168387296,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,30,fitted_premium_spread,2000,2000,0.17714511422686677,0.07651482389337551,-0.10063029033349126,0.4319330184595679,0.42030561530738736,0.006647277315757683,2.3726627581108954,0.4320820954244631,0.427,0.01106053796160024,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,36,fitted_premium_spread,2000,2000,0.17714511422686677,0.07597868831076252,-0.10116642591610425,0.4289064851851228,0.3684191550830439,0.005826675169407583,2.079759053423374,0.38196786936577076,0.4245,0.011052143457266558,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,48,fitted_premium_spread,2000,2000,0.17714511422686677,0.0804891775801334,-0.09665593664673337,0.4543686001808227,0.33811628623363227,0.005347424915856346,1.9086966508182237,0.35157905482831686,0.4255,0.011055535943589528,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,51,fitted_premium_spread,2000,2000,0.17714511422686677,0.08568233260509416,-0.09146278162177261,0.4836844243717737,0.3274833752736018,0.005179261785860115,1.8486729182618005,0.33993702184675684,0.413,0.011009791097019052,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,60,fitted_premium_spread,2000,2000,0.17714511422686677,0.08288588503611492,-0.09425922919075184,0.4678982279464076,0.29821184697212993,0.004716322536443637,1.6834325252132838,0.3126829749272039,0.411,0.011001795308039502,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,72,fitted_premium_spread,2000,2000,0.17714511422686677,0.1003591095691964,-0.07678600465767037,0.5665361418925061,0.2696190007860872,0.004264116877220102,1.5220233533553214,0.28027513070799454,0.3755,0.010828198141888613,,,,,,,,,,0.25,False
family_10_decile,earnings_to_price,10,84,fitted_premium_spread,2000,2000,0.17714511422686677,0.08904319964891051,-0.08810191457795626,0.5026568191707189,0.2445172784872936,0.0038671245384401674,1.3803218878176027,0.25984755623517947,0.3695,0.010792815897623754,,,,,,,,,,0.25,True
