family,baseline_spread,frozen_spread,refitted_spread,revised_history_spread,temporal_change,vintage_change,total_change,sign_compatible_with_baseline,sign_compatible_with_revised_history,temporal_change_within_bound,total_change_within_bound
book_to_market,0.5352663273572212,0.5352663273572212,-0.39075161859143337,0.5353245156110751,-0.9260761342025084,5.818825385384141e-05,-0.9260179459486546,False,False,False,False
earnings_to_price,0.40711206367007624,0.40711206367007624,-0.5804488864660164,0.40769388154803954,-0.988142768014056,0.0005818178779632976,-0.9875609501360927,False,False,False,False
equity_duration,-0.46173860380246506,-0.46173860380246506,0.45648413586065584,-0.4622016357578438,0.9186857716184996,-0.0004630319553787232,0.9182227396631208,False,False,False,False
long_term_reversal,-0.2991828713209408,-0.2991828713209408,0.6535742765781154,-0.2992877518672577,0.952862028445373,-0.00010488054631691002,0.9527571478990562,False,False,False,False
investment_to_assets,-0.3283480827585187,-0.3283480827585187,-0.02512709159946866,-0.3290609355092214,0.30393384390975275,-0.0007128527507027083,0.30322099115905,True,True,False,False
ppe_investment,-0.2980806949629772,-0.2980806949629772,0.559998537935757,-0.29835117717400506,0.8583497151097621,-0.00027048221102787817,0.8580792328987342,False,False,False,False
inventory_growth,-0.1907630266549669,-0.1907630266549669,-0.05534628554700327,-0.1911188786128732,0.13577259306586992,-0.0003558519579063002,0.13541674110796362,True,True,True,True
