comparison,description,lambda_rate_change,rmse_relative_change,max_abs_spread_change
vintage_effect_locked_vs_revised_history,"same months, publication-era against current vintage",-2.3915985646327798e-06,-2.877662149617784e-05,0.0007128527507027083
temporal_effect_revised_history_vs_refitted_extension,"same vintage, baseline months against extension months",0.6159210714641334,0.9102026136819019,0.988142768014056
combined_locked_baseline_vs_refitted_extension,confounds vintage and time; reported for completeness only,0.6159186798655689,0.910147644504307,0.9875609501360927
