evaluation,vintage,months,lambda_market,lambda_rate,shanken_t_rate,rmse,mae,max_abs,article_fit,replication_status
locked_baseline_1972_2013,publication_era,504,0.6012277352967575,-0.6984645567038997,-2.859541110096134,0.10039313928051781,0.08164090447481438,0.23883148510927288,0.543937122181295,documented_reconstruction
frozen_parameter_extension_2014_2025,current,144,0.6012277352967575,-0.6984645567038997,-2.859541110096134,0.44625442457700276,0.3551769735778143,0.9636376779999867,-0.691280586800439,documented_reconstruction
refitted_extension_2014_2025,current,144,0.9971633658900599,-0.08254587683833087,-1.4933647917858481,0.1917657185210739,0.14638585123743195,0.6833943770934046,0.4502102445124839,documented_reconstruction
revised_history_1972_2013,current,504,0.6043932582996284,-0.6973734348518139,-2.8614139317661214,0.10148135199147909,0.08210645823838228,0.25358959471574316,0.5339513537034624,documented_reconstruction
