model,rmse,mae,max_error,mean_squared_error,out_of_sample_r2,rank_correlation,top_minus_bottom_rank_accuracy,forecast_count,asset_count,observed_mean
historical_mean,1.618954526817316,1.2418620011942858,6.840590260869566,2.6210137599022794,0.0,0.027828509518650343,1.0,1820.0,70.0,0.7571579470529471
two_factor_market_rate,1.6158187276495146,1.2365948624835372,6.760966520031131,2.610870160622896,0.0038701053136637187,0.037407051001662146,1.0,1820.0,70.0,0.7571579470529471
zero_excess_return,1.764742544553052,1.4402043106893108,7.258900000000001,3.1143162485555806,-0.18821056806344005,,0.0,1820.0,70.0,0.7571579470529471
