rate,ar1_convention,portfolio_set,sample_end,n_months,lambda_rate,shanken_t_rate,article_cross_sectional_fit,root_mean_squared_pricing_error,replication_status
fedfunds,carried_over_from_full_sample,book_to_market,2006-12,420,-0.7268766248080479,-2.383696690107303,0.7780640381282227,0.0834549035557811,documented_reconstruction
fedfunds,carried_over_from_full_sample,earnings_to_price,2006-12,420,-0.7752964499289233,-2.2515547347533564,0.5818518572472771,0.11567212307839887,documented_reconstruction
fedfunds,carried_over_from_full_sample,equity_duration,2006-12,420,-0.8500798555077446,-2.696106405178806,0.7156053303436922,0.11488272082942969,documented_reconstruction
fedfunds,carried_over_from_full_sample,inventory_growth,2006-12,420,-0.5344011204348785,-2.2461081731900623,0.2707512414540436,0.12276623154331018,documented_reconstruction
fedfunds,carried_over_from_full_sample,investment_to_assets,2006-12,420,-0.7365191592051674,-2.5426946762439826,0.6238854893012054,0.08944810378897707,documented_reconstruction
fedfunds,carried_over_from_full_sample,long_term_reversal,2006-12,420,-0.6209630266136436,-1.9093704464691932,0.5926657801408924,0.09169978845048529,documented_reconstruction
fedfunds,carried_over_from_full_sample,ppe_investment,2006-12,420,-0.7378047267277461,-2.6205704328872863,0.5637329208951252,0.0984915281951023,documented_reconstruction
fedfunds,carried_over_from_full_sample,all_seven_families_joint,2006-12,420,-0.732888146079019,-2.9716654013968733,0.6097409411841163,0.10767798082396668,documented_reconstruction
fedfunds,reestimated_on_restricted_window,book_to_market,2006-12,420,-0.7305945593307906,-2.376579207849519,0.782423850096589,0.08263205207215925,documented_reconstruction
fedfunds,reestimated_on_restricted_window,earnings_to_price,2006-12,420,-0.7791108008801959,-2.239842421629279,0.5901817322165164,0.11451949962035309,documented_reconstruction
fedfunds,reestimated_on_restricted_window,equity_duration,2006-12,420,-0.8455510291228423,-2.7029704224650377,0.7143605002672724,0.11513895162508407,documented_reconstruction
fedfunds,reestimated_on_restricted_window,inventory_growth,2006-12,420,-0.5359969080348101,-2.2236482168693597,0.26248184438177447,0.12346025542156583,documented_reconstruction
fedfunds,reestimated_on_restricted_window,investment_to_assets,2006-12,420,-0.7414893125254974,-2.5426191625963095,0.6346937242264644,0.08815059784471495,documented_reconstruction
fedfunds,reestimated_on_restricted_window,long_term_reversal,2006-12,420,-0.6261897183154688,-1.9019485376369407,0.611384643413716,0.08956936167136417,documented_reconstruction
fedfunds,reestimated_on_restricted_window,ppe_investment,2006-12,420,-0.7458689034186514,-2.6166198901446616,0.5731898931939733,0.09741685336394862,documented_reconstruction
fedfunds,reestimated_on_restricted_window,all_seven_families_joint,2006-12,420,-0.7353872981017652,-2.967106615440893,0.6164899816808344,0.10674339721274062,documented_reconstruction
tb3ms,carried_over_from_full_sample,book_to_market,2006-12,420,-0.5348045105891113,-2.5473486654314437,0.8685485195471663,0.06417320590977112,documented_reconstruction
tb3ms,carried_over_from_full_sample,earnings_to_price,2006-12,420,-0.4734426785912854,-2.6460178676949777,0.4560226996994404,0.13191301751175763,documented_reconstruction
tb3ms,carried_over_from_full_sample,equity_duration,2006-12,420,-0.6399950377950974,-2.8976197580307335,0.7802435616788495,0.10088138291712412,documented_reconstruction
tb3ms,carried_over_from_full_sample,inventory_growth,2006-12,420,-0.45532443962382235,-2.182753790741586,0.27255892282284133,0.12261406033334785,documented_reconstruction
tb3ms,carried_over_from_full_sample,investment_to_assets,2006-12,420,-0.5519707604852822,-2.735264147591351,0.6108307949444314,0.09096183529612564,documented_reconstruction
tb3ms,carried_over_from_full_sample,long_term_reversal,2006-12,420,-0.41640726378852166,-2.1238429353581667,0.4382166937572306,0.10769478970785286,documented_reconstruction
tb3ms,carried_over_from_full_sample,ppe_investment,2006-12,420,-0.6905214546540672,-2.258595311993149,0.4600230691079338,0.10958998215872881,documented_reconstruction
tb3ms,carried_over_from_full_sample,all_seven_families_joint,2006-12,420,-0.5366150698832755,-3.07507432002423,0.5746003255786016,0.11238667217755617,documented_reconstruction
tb3ms,reestimated_on_restricted_window,book_to_market,2006-12,420,-0.5372020302163677,-2.5415618456065565,0.872545558207954,0.0631900301927629,documented_reconstruction
tb3ms,reestimated_on_restricted_window,earnings_to_price,2006-12,420,-0.4816097187544848,-2.6283978510601607,0.4756652812490858,0.12950739628185504,documented_reconstruction
tb3ms,reestimated_on_restricted_window,equity_duration,2006-12,420,-0.6418379169046396,-2.890880182499401,0.7890124942690522,0.09884747797469062,documented_reconstruction
tb3ms,reestimated_on_restricted_window,inventory_growth,2006-12,420,-0.4548431177488551,-2.165514639309011,0.26212508027990156,0.12349064409547524,documented_reconstruction
tb3ms,reestimated_on_restricted_window,investment_to_assets,2006-12,420,-0.5534382515105624,-2.739381977122135,0.6154096514411855,0.09042513265177822,documented_reconstruction
tb3ms,reestimated_on_restricted_window,long_term_reversal,2006-12,420,-0.4252633998585326,-2.1192251977726455,0.464930868986551,0.10510683325616961,documented_reconstruction
tb3ms,reestimated_on_restricted_window,ppe_investment,2006-12,420,-0.6997435715977689,-2.2525788701297493,0.47204241029101257,0.1083621567484742,documented_reconstruction
tb3ms,reestimated_on_restricted_window,all_seven_families_joint,2006-12,420,-0.5410991431365191,-3.065132440361296,0.5868052813483673,0.11076209625587344,documented_reconstruction
