model,portfolio_set,n_assets,article_cross_sectional_fit,max_abs_price_gap_against_transform,max_abs_pricing_error_gap_against_beta_route,replication_status,gamma_RM,gamma_FFR_innovation,gamma_TB_innovation
market_plus_fedfunds_innovation,book_to_market,10,0.7065967164420093,1.4210854715202004e-14,1.27675647831893e-15,documented_reconstruction,-0.010183522150662653,-2.2283917459991467,
market_plus_fedfunds_innovation,earnings_to_price,10,0.4937262614446579,4.440892098500626e-15,8.881784197001252e-16,documented_reconstruction,-0.008995263826609588,-2.133715517241857,
market_plus_fedfunds_innovation,equity_duration,10,0.681496492515747,2.6645352591003757e-15,5.551115123125783e-16,documented_reconstruction,-0.010690714730282689,-2.281769094301609,
market_plus_fedfunds_innovation,inventory_growth,10,0.19325767117945947,3.1086244689504383e-15,5.551115123125783e-16,documented_reconstruction,0.00838014744384527,-1.1702243550658973,
market_plus_fedfunds_innovation,investment_to_assets,10,0.6894547903963296,2.1760371282653068e-14,2.7755575615628914e-15,documented_reconstruction,-0.013435259031249279,-2.333300195946727,
market_plus_fedfunds_innovation,long_term_reversal,10,0.48638654097811507,1.0880185641326534e-14,1.9984014443252818e-15,documented_reconstruction,0.0015609594797676087,-1.6436259255862495,
market_plus_fedfunds_innovation,ppe_investment,10,0.5607287089234003,3.552713678800501e-15,7.216449660063518e-16,documented_reconstruction,-0.014679675545637002,-2.388496067043244,
market_plus_fedfunds_innovation,all_seven_families_joint,70,0.5439371221812954,1.5987211554602254e-14,3.4416913763379853e-15,documented_reconstruction,-0.007150092109811013,-2.0452421162677696,
market_plus_tbill_innovation,book_to_market,10,0.7588600282723226,3.469446951953614e-18,4.440892098500626e-16,documented_reconstruction,-0.004238443095066492,,-2.308594290118783
market_plus_tbill_innovation,earnings_to_price,10,0.27504785308779933,1.1102230246251565e-15,5.551115123125783e-16,documented_reconstruction,0.0051834897560451626,,-1.7036063150557854
market_plus_tbill_innovation,equity_duration,10,0.6908043155088124,2.6645352591003757e-15,8.881784197001252e-16,documented_reconstruction,-0.005179425292097036,,-2.417538777367445
market_plus_tbill_innovation,inventory_growth,10,0.15133011280937037,7.771561172376096e-15,1.1102230246251565e-15,documented_reconstruction,0.008289932459197027,,-1.4144580084404386
market_plus_tbill_innovation,investment_to_assets,10,0.5752013482669593,2.6645352591003757e-15,7.771561172376096e-16,documented_reconstruction,-0.0055188755738991065,,-2.344966942225024
market_plus_tbill_innovation,long_term_reversal,10,0.4932284246961246,9.769962616701378e-15,1.6653345369377348e-15,documented_reconstruction,0.009851115889077517,,-1.5358550571039606
market_plus_tbill_innovation,ppe_investment,10,0.39952554369539606,4.440892098500626e-16,7.216449660063518e-16,documented_reconstruction,-0.017042774760702237,,-3.0847396557367577
market_plus_tbill_innovation,all_seven_families_joint,70,0.4678998299377164,1.7763568394002505e-14,3.941291737419306e-15,documented_reconstruction,-0.00021693937658285952,,-2.044438795146084
