model,portfolio_set,n_assets,article_cross_sectional_fit,kan_robotti_shanken_fit,alternative_minus_article,replication_status
capm,all_seven_families_joint,70,-0.6125179630398105,0.916951160409282,1.5294691234490925,documented_reconstruction
capm,book_to_market,10,-0.4100087320740413,0.9213514842985009,1.3313602163725422,documented_reconstruction
capm,earnings_to_price,10,-0.8809251508377092,0.8975385447626272,1.7784636956003363,documented_reconstruction
capm,equity_duration,10,-0.7881447830569539,0.8914910671004372,1.6796358501573911,documented_reconstruction
capm,inventory_growth,10,-0.5542761790164572,0.9517359917036934,1.5060121707201506,documented_reconstruction
capm,investment_to_assets,10,-1.129524132793212,0.9197779704110461,2.049302103204258,documented_reconstruction
capm,long_term_reversal,10,-0.2346886515725619,0.9530671970371898,1.1877558486097517,documented_reconstruction
capm,ppe_investment,10,-0.4058215325731309,0.9257825137721546,1.3316040463452854,documented_reconstruction
carhart_4,all_seven_families_joint,70,0.7651204110741773,0.9879030945695252,0.2227826834953479,documented_reconstruction
carhart_4,book_to_market,10,0.9337504023599354,0.9963046806720492,0.0625542783121138,documented_reconstruction
carhart_4,earnings_to_price,10,0.9286027221110761,0.9961107070160511,0.067507984904975,documented_reconstruction
carhart_4,equity_duration,10,0.9171172951031553,0.9949704778106329,0.07785318270747754,documented_reconstruction
carhart_4,inventory_growth,10,0.6883490304883223,0.9903224888979629,0.3019734584096406,documented_reconstruction
carhart_4,investment_to_assets,10,0.7219706109281068,0.9895262601004343,0.26755564917232755,documented_reconstruction
carhart_4,long_term_reversal,10,0.9060949283444621,0.9964304942629831,0.09033556591852099,documented_reconstruction
carhart_4,ppe_investment,10,0.642985691225946,0.9811521562796921,0.33816646505374615,documented_reconstruction
fama_french_3,all_seven_families_joint,70,0.7115750180385234,0.9851453685416818,0.27357035050315837,documented_reconstruction
fama_french_3,book_to_market,10,0.9333953083870201,0.9962848739763394,0.06288956558931924,documented_reconstruction
fama_french_3,earnings_to_price,10,0.8017231501659835,0.9891990733576893,0.1874759231917058,documented_reconstruction
fama_french_3,equity_duration,10,0.8021943616811703,0.9879966773726233,0.185802315691453,documented_reconstruction
fama_french_3,inventory_growth,10,0.5525039099844584,0.9861041716442299,0.4336002616597715,documented_reconstruction
fama_french_3,investment_to_assets,10,0.721411331809354,0.9895051913060863,0.26809385949673226,documented_reconstruction
fama_french_3,long_term_reversal,10,0.8115476440380982,0.9928365768333803,0.18128893279528213,documented_reconstruction
fama_french_3,ppe_investment,10,0.4553587443197823,0.9712467735370526,0.5158880292172703,documented_reconstruction
fama_french_5,all_seven_families_joint,70,0.7485492175724127,0.9870496353073658,0.23850041773495312,documented_reconstruction
fama_french_5,book_to_market,10,0.9698166352500348,0.9983164098331718,0.028499774583137016,documented_reconstruction
fama_french_5,earnings_to_price,10,0.9687702658313502,0.9982987924808326,0.029528526649482467,documented_reconstruction
fama_french_5,equity_duration,10,0.9605303432673374,0.9976048861509684,0.03707454288363099,documented_reconstruction
fama_french_5,inventory_growth,10,0.796896834194457,0.9936931589045854,0.19679632471012842,documented_reconstruction
fama_french_5,investment_to_assets,10,0.7745796651350526,0.9915081137165757,0.21692844858152305,documented_reconstruction
fama_french_5,long_term_reversal,10,0.8321578609854583,0.993620009360908,0.1614621483754497,documented_reconstruction
fama_french_5,ppe_investment,10,0.6795301236969132,0.9830814452049045,0.30355132150799125,documented_reconstruction
liquidity,all_seven_families_joint,70,0.7134550579225271,0.9852421954511051,0.2717871375285781,documented_reconstruction
liquidity,book_to_market,10,0.9410693564668939,0.996712922737439,0.05564356627054512,documented_reconstruction
liquidity,earnings_to_price,10,0.8109813777703927,0.9897034057458463,0.17872202797545356,documented_reconstruction
liquidity,equity_duration,10,0.8349678615508801,0.9899854522928323,0.1550175907419522,documented_reconstruction
liquidity,inventory_growth,10,0.5531518896839072,0.9861242929701644,0.4329724032862572,documented_reconstruction
liquidity,investment_to_assets,10,0.782950565476823,0.9918234567570995,0.20887289128027653,documented_reconstruction
liquidity,long_term_reversal,10,0.8153676956767308,0.9929817840729831,0.17761408839625226,documented_reconstruction
liquidity,ppe_investment,10,0.7277538267948938,0.985627317449427,0.25787349065453324,documented_reconstruction
market_plus_fedfunds_innovation,all_seven_families_joint,70,0.543937122181295,0.9765115839628561,0.4325744617815611,documented_reconstruction
market_plus_fedfunds_innovation,book_to_market,10,0.7065967164420085,0.9836343334414397,0.2770376169994312,documented_reconstruction
market_plus_fedfunds_innovation,earnings_to_price,10,0.4937262614446596,0.9724212609003913,0.4786949994557317,documented_reconstruction
market_plus_fedfunds_innovation,equity_duration,10,0.6814964925157461,0.9806724399224537,0.2991759474067076,documented_reconstruction
market_plus_fedfunds_innovation,inventory_growth,10,0.19325767117945947,0.9749487131200741,0.7816910419406147,documented_reconstruction
market_plus_fedfunds_innovation,investment_to_assets,10,0.6894547903963295,0.9883013455401153,0.2988465551437858,documented_reconstruction
market_plus_fedfunds_innovation,long_term_reversal,10,0.4863865409781156,0.9804766009304291,0.4940900599523135,documented_reconstruction
market_plus_fedfunds_innovation,ppe_investment,10,0.5607287089233997,0.9768095663351425,0.41608085741174283,documented_reconstruction
market_plus_tbill_innovation,all_seven_families_joint,70,0.4678998299377156,0.972595467038152,0.5046956371004364,documented_reconstruction
market_plus_tbill_innovation,book_to_market,10,0.7588600282723224,0.9865495153176913,0.22768948704536895,documented_reconstruction
market_plus_tbill_innovation,earnings_to_price,10,0.27504785308779944,0.9605089804254041,0.6854611273376047,documented_reconstruction
market_plus_tbill_innovation,equity_duration,10,0.6908043155088104,0.9812372610432964,0.29043294553448606,documented_reconstruction
market_plus_tbill_innovation,inventory_growth,10,0.1513301128093677,0.9736467617343825,0.8223166489250148,documented_reconstruction
market_plus_tbill_innovation,investment_to_assets,10,0.5752013482669578,0.9839972651711738,0.408795916904216,documented_reconstruction
market_plus_tbill_innovation,long_term_reversal,10,0.4932284246961224,0.9807366736054494,0.487508248909327,documented_reconstruction
market_plus_tbill_innovation,ppe_investment,10,0.3995255436953954,0.9682991733599431,0.5687736296645477,documented_reconstruction
q_factor,all_seven_families_joint,70,0.6867979266675955,0.9838692843466817,0.2970713576790862,documented_reconstruction
q_factor,book_to_market,10,0.9524727390902068,0.9973489890942627,0.04487625000405593,documented_reconstruction
q_factor,earnings_to_price,10,0.878590675348949,0.9933863524140804,0.11479567706513139,documented_reconstruction
q_factor,equity_duration,10,0.949620924268382,0.996942876326402,0.047321952058020034,documented_reconstruction
q_factor,inventory_growth,10,0.7114477125976795,0.9910397584540499,0.27959204585637043,documented_reconstruction
q_factor,investment_to_assets,10,0.7493240164977037,0.9905566995667787,0.24123268306907497,documented_reconstruction
q_factor,long_term_reversal,10,0.8042435938759638,0.9925589363556345,0.18831534247967074,documented_reconstruction
q_factor,ppe_investment,10,0.6730609280304022,0.9827399171878981,0.3096789891574959,documented_reconstruction
