model,portfolio_set,statistic,generated_value,shanken_t_statistic,empirical_p_value,bootstrap_t_statistic_median,replication_status
capm,all_seven_families_joint,chi_square,99.57356416611994,,0.1106,,documented_reconstruction
capm,all_seven_families_joint,lambda_market,0.6476779544193648,3.1200598530700017,0.0006,-0.37715642646603503,documented_reconstruction
capm,all_seven_families_joint,r2_ols,-0.6125179630398099,,0.232,,documented_reconstruction
capm,book_to_market,chi_square,15.493891034626861,,0.0606,,documented_reconstruction
capm,book_to_market,lambda_market,0.6990855418524419,3.316431372260657,0.0,0.15193521029964846,documented_reconstruction
capm,book_to_market,r2_ols,-0.4100087320740391,,0.256,,documented_reconstruction
capm,earnings_to_price,chi_square,22.770065955084704,,0.053,,documented_reconstruction
capm,earnings_to_price,lambda_market,0.6716794135251678,3.1981902181571846,0.0,-0.015678271882615703,documented_reconstruction
capm,earnings_to_price,r2_ols,-0.8809251508377092,,0.3504,,documented_reconstruction
capm,equity_duration,chi_square,22.941444959900373,,0.045,,documented_reconstruction
capm,equity_duration,lambda_market,0.685928718080628,3.276175465461798,0.0,-0.40419109325580804,documented_reconstruction
capm,equity_duration,r2_ols,-0.7881447830569541,,0.3488,,documented_reconstruction
capm,inventory_growth,chi_square,16.582274182820704,,0.0828,,documented_reconstruction
capm,inventory_growth,lambda_market,0.6032610271688084,2.9116153996682628,0.0002,-0.39272621715355727,documented_reconstruction
capm,inventory_growth,r2_ols,-0.5542761790164574,,0.2002,,documented_reconstruction
capm,investment_to_assets,chi_square,20.814225223740692,,0.0676,,documented_reconstruction
capm,investment_to_assets,lambda_market,0.6051197324184687,2.924306713054393,0.0,0.041240200727161454,documented_reconstruction
capm,investment_to_assets,r2_ols,-1.129524132793212,,0.3364,,documented_reconstruction
capm,long_term_reversal,chi_square,13.008485960703922,,0.0922,,documented_reconstruction
capm,long_term_reversal,lambda_market,0.7050391786423273,3.355662062864906,0.0,-0.40632110138740074,documented_reconstruction
capm,long_term_reversal,r2_ols,-0.23468865157256324,,0.1642,,documented_reconstruction
capm,ppe_investment,chi_square,28.155039701698428,,0.0558,,documented_reconstruction
capm,ppe_investment,lambda_market,0.5746818534735207,2.778457139476565,0.0,-0.1335722741614429,documented_reconstruction
capm,ppe_investment,r2_ols,-0.40582153257312936,,0.2148,,documented_reconstruction
carhart_4,all_seven_families_joint,chi_square,66.81897242724604,,0.1342,,documented_reconstruction
carhart_4,all_seven_families_joint,lambda_hml,0.44079367092010363,2.8634316001066864,0.003,0.03722621163984969,documented_reconstruction
carhart_4,all_seven_families_joint,lambda_market,0.6074747506204244,2.931475058504442,0.0024,-0.07031681538591947,documented_reconstruction
carhart_4,all_seven_families_joint,lambda_smb,0.10348763246145234,0.5518140993681816,0.7778,0.0230397796518043,documented_reconstruction
carhart_4,all_seven_families_joint,lambda_umd,0.7250099867814974,1.8970335119441286,0.1078,-0.04750597140906091,documented_reconstruction
carhart_4,all_seven_families_joint,r2_ols,0.7651204110741775,,0.0,,documented_reconstruction
fama_french_3,all_seven_families_joint,chi_square,82.314607757631,,0.069,,documented_reconstruction
fama_french_3,all_seven_families_joint,lambda_hml,0.4853818948769869,3.1453528225692087,0.0004,-0.06725947715073233,documented_reconstruction
fama_french_3,all_seven_families_joint,lambda_market,0.611723591347614,2.952739119167745,0.0008,0.061561334756047026,documented_reconstruction
fama_french_3,all_seven_families_joint,lambda_smb,-0.036786138406859265,-0.19615561059555875,0.9332,0.05451979146227474,documented_reconstruction
fama_french_3,all_seven_families_joint,r2_ols,0.7115750180385234,,0.0,,documented_reconstruction
fama_french_5,all_seven_families_joint,chi_square,78.1361470600823,,0.0636,,documented_reconstruction
fama_french_5,all_seven_families_joint,lambda_cma,0.2427486419085958,2.3090560895957837,0.0328,0.0569924607514081,documented_reconstruction
fama_french_5,all_seven_families_joint,lambda_hml,0.45057458235963127,2.89121292327908,0.0018,0.10285852490994454,documented_reconstruction
fama_french_5,all_seven_families_joint,lambda_market,0.6120539897505173,2.954184104233221,0.0012,-0.015980131004609016,documented_reconstruction
fama_french_5,all_seven_families_joint,lambda_rmw,-0.13010278917751322,-0.9001187030472221,0.5856,0.013610816552767715,documented_reconstruction
fama_french_5,all_seven_families_joint,lambda_smb,-0.04464115923565601,-0.23840265884570494,0.8992,-0.07071449223986043,documented_reconstruction
fama_french_5,all_seven_families_joint,r2_ols,0.7485492175724129,,0.0002,,documented_reconstruction
liquidity,all_seven_families_joint,chi_square,81.76541958578996,,0.0572,,documented_reconstruction
liquidity,all_seven_families_joint,lambda_hml,0.49159807581433723,3.1550552118890867,0.0006,0.018081660106630634,documented_reconstruction
liquidity,all_seven_families_joint,lambda_liq,-0.1106753417346002,-0.24899588874200898,0.901,-0.03870873562392545,documented_reconstruction
liquidity,all_seven_families_joint,lambda_market,0.6152138403268963,2.9677884181651732,0.0014,-0.029801882691200557,documented_reconstruction
liquidity,all_seven_families_joint,lambda_smb,-0.03477640689930079,-0.18541268848073486,0.9282,-0.014214136455797572,documented_reconstruction
liquidity,all_seven_families_joint,r2_ols,0.7134550579225271,,0.0,,documented_reconstruction
market_plus_fedfunds_innovation,all_seven_families_joint,chi_square,35.65472819015537,,0.4006,,documented_reconstruction
market_plus_fedfunds_innovation,all_seven_families_joint,lambda_market,0.6012277352967575,2.8704741592621783,0.0022,-0.03851500484202157,documented_reconstruction
