model,portfolio_set,n_assets,excess_zero_beta_rate,excess_zero_beta_t_statistic,zero_beta_rate_level,article_cross_sectional_fit,chi_square_statistic,chi_square_asymptotic_p_value,replication_status,lambda_RM,shanken_t_RM,lambda_FFR_innovation,shanken_t_FFR_innovation,lambda_TB_innovation,shanken_t_TB_innovation,lambda_SMB,shanken_t_SMB,lambda_HML,shanken_t_HML,lambda_UMD,shanken_t_UMD,lambda_RMW,shanken_t_RMW,lambda_CMA,shanken_t_CMA,lambda_ME,shanken_t_ME,lambda_IA,shanken_t_IA,lambda_ROE,shanken_t_ROE,lambda_LIQ,shanken_t_LIQ
capm,book_to_market,10,1.7925584071782037,2.7700268486143518,2.212856026225823,0.27113599735839056,12.410224801910985,0.13381767229003655,documented_reconstruction,-1.1950415536583996,-1.754819655807097,,,,,,,,,,,,,,,,,,,,,,
capm,earnings_to_price,10,1.5726288869695375,3.5143317565710923,1.9929265060171566,0.4915870195111326,10.92109478911145,0.20621028893947912,documented_reconstruction,-1.0011190309674352,-2.014484643019094,,,,,,,,,,,,,,,,,,,,,,
capm,equity_duration,10,1.6547469068005767,4.05517318038415,2.0750445258481958,0.45101032796625307,11.20912293077655,0.1901292262564638,documented_reconstruction,-1.0431403751522093,-2.3108699821774863,,,,,,,,,,,,,,,,,,,,,,
capm,inventory_growth,10,0.8414829471051184,1.9517783001423985,1.2617805661527375,0.0554223484569446,13.641230676048984,0.09160932437178024,documented_reconstruction,-0.26038903991212736,-0.5318004022159225,,,,,,,,,,,,,,,,,,,,,,
capm,investment_to_assets,10,1.0687861527153946,3.4482084848113765,1.4890837717630137,0.26435401545907244,11.741184427960327,0.16313052742945058,documented_reconstruction,-0.46682279029151474,-1.247930100343933,,,,,,,,,,,,,,,,,,,,,,
capm,long_term_reversal,10,0.5254983441075783,1.5866253833162989,0.9457959631551974,0.02929318718808749,9.39441622999847,0.31012319169208397,documented_reconstruction,0.17617383168662903,0.44612933340530103,,,,,,,,,,,,,,,,,,,,,,
capm,ppe_investment,10,1.0705346993778042,2.916654102610053,1.4908323184254233,0.10819541639217845,21.95621843929959,0.00499762137255389,documented_reconstruction,-0.487168143935945,-1.143410667560672,,,,,,,,,,,,,,,,,,,,,,
capm,all_seven_families_joint,70,1.141685907783579,3.7985481184808294,1.5619835268311981,0.15313439530294937,88.25709455917418,0.049948455878809264,documented_reconstruction,-0.5239946159033511,-1.445789297208129,,,,,,,,,,,,,,,,,,,,,,
market_plus_fedfunds_innovation,book_to_market,10,0.6710988377634806,0.8362556658057073,1.0913964568110996,0.7687623387124903,3.964968675976648,0.7838033913754876,documented_reconstruction,-0.08848638574734946,-0.10557643752291146,-0.6182658842649152,-1.992502696574162,,,,,,,,,,,,,,,,,,,,
market_plus_fedfunds_innovation,earnings_to_price,10,0.8407162596187465,1.2494311181306959,1.2610138786663656,0.5948567336860788,7.895197719719658,0.34192599841192634,documented_reconstruction,-0.2641330575438272,-0.37051172639886837,-0.382282791167077,-1.077487415514064,,,,,,,,,,,,,,,,,,,,
market_plus_fedfunds_innovation,equity_duration,10,0.6954283401333565,1.2649868275996135,1.1157259591809756,0.7777122708678914,4.8758214290930155,0.6751142283335487,documented_reconstruction,-0.09245179711874452,-0.15643576277403565,-0.5433377186390526,-1.8903124809567604,,,,,,,,,,,,,,,,,,,,
market_plus_fedfunds_innovation,inventory_growth,10,0.19217539411048623,0.3072874303095143,0.6124730131581053,0.20242334483237556,8.008863369611783,0.3318129877846388,documented_reconstruction,0.4108255640311178,0.6049410922354566,-0.33213620763214957,-1.584152715136094,,,,,,,,,,,,,,,,,,,,
market_plus_fedfunds_innovation,investment_to_assets,10,0.3033103859132565,0.5594498138160746,0.7236080049608755,0.7339601672027791,3.2883267667029483,0.8571107994345148,documented_reconstruction,0.27561001750363245,0.4721415586338623,-0.637344322281495,-1.6337612031524038,,,,,,,,,,,,,,,,,,,,
